movie_title,director,year
Любовь — самая великолепная вещь на свете,Генри Кинг,
Люби меня или покинь меня,Чарльз Видор,1955
Лурджа Магданы,Тенгиз Абуладзе,1955
Матрос Чижик,Владимир Браун,1955
Лжецарь (фильм),Велимир Стоянович,1955
"Лето (фильм, 1955)",Дэвид Лин,
Леди Годива из Ковентри,,
Левая рука Бога,Эдвард Дмитрык,1955
"Кровавая дорога (фильм, 1955)",Коре Бергстрём,1955
Крушение эмирата,Владимир Басов,1955
Король-динозавр,Берт Айра Гордон,
Лола Монтес (фильм),Макс Офюльс,1955
Когда любишь,Кодзабуро Ёсимура,
"Княжна Мери (фильм, 1955)",Исидор Анненский,1955
"Снежная страна (фильм, 1957)",Сиро Тоёда,
Полёт к ярости,Монте Хеллман,
Случай на шахте восемь,Владимир Басов,1957
Кафе на 101-й улице,Эдвард Дейн,1955
Смерть в небольших дозах,Джозеф М. Ньюман,1957
Смертельный богомол,Натан Юран,1957
Случай в пустыне,Загид Сабитов,1957
Сладкий запах успеха,Александр Маккендрик,1957
Без вести пропавший,Исаак Шмарук,1956
"Беатриче Ченчи (фильм, 1956)",,
Банда отца,Ги Лефранк,1956
Банда честных,Камилло Мастрочинкве,
Алый час,Майкл Кёртис,1956
Атака крабов-монстров,Роджер Корман,
"Анастасия (фильм, 1956)",Анатоль Литвак,1956
"Квентин Дорвард (фильм, 1955)",Ричард Торп,
Ад в заливе Фриско,Фрэнк Таттл,1956
Идеальная жена,Сидни Шелдон,
"Александр Великий (фильм, 1956)",Роберт Россен,1956
Авиценна (фильм),Камиль Ярматов,1956
"1984 (фильм, 1956)",Майкл Андерсон,1956
Баши-Ачук (фильм),Лео Эсакия,1956
Ах! Эти прекрасные вакханки,Жан Лубиньяк,1954
"Аттила (фильм, 1954)",Пьетро Франчиши,1954
Апрельская рыбка,Жиль Гранжье,1954
Американец в Риме,Стено,1954
Андриеш (фильм),Яков Базелян,1954
Анна на шее (фильм),Исидор Анненский,1954
Автобус отходит в 6.20,Ян Рыбковский,1954
Административная власть,Роберт Уайз,
"20 000 лье под водой (фильм, 1954)",Ричард Флейшер,1954
Аттестат зрелости (фильм),Татьяна Лукашевич,1954
Тварь ходит среди нас,,
"Человек-зверь (фильм, 1956)",,1956
Автобусная остановка (фильм),Джошуа Логан,1956
Чайная церемония (фильм),Дэниэл Манн,1956
"Хозяйка гостиницы (фильм, 1956)",Михаил Названов,1956
"Тото, Пеппино и распутница",,
"Трое в лодке, не считая собаки (фильм, 1956)",Кен Эннакин,
"Крысы (фильм, 1955)",Роберт Сиодмак,1955
"Быть матерью, быть женщиной",Фумио Камэи,
В степях Украины,Гнат Юра,1952
Брачное агентство (фильм),Жан-Поль ле Шануа,1952
Буря в горах Хаконэ,Сацуо Ямамото,
Белый шейх,,
Большие деревья,Феликс Файст,1952
Бегство месье Перля,Пьер Гаспар-Хьюи,
Без предупреждения!,Арнольд Лейвен,1952
Байджу Бавра,Виджай Бхатт,1952
Араки Матаэмон: Дуэль на перекрёстке у лавки ключей,Кацуо Мори,1952
Афера на Тринидаде,Винсент Шерман,1952
Бандитская империя,Джозеф Кейн,1952
Андрокл и лев (фильм),Честер Эрскин,
Ангельское лицо,Отто Премингер,
Величайшее шоу мира,Сесил Б. Демилль,1952
,Уильям Ханна,
"Айвенго (фильм, 1952)",Ричард Торп,
Женщина идёт одна по земле,Фумио Камэи,
Женщины-кошки с Луны,,
"Дом восковых фигур (фильм, 1953)",Андре де Тот,1953
"Добро пожаловать, мистер Маршалл",Луис Гарсия Берланга,1953
"Доля секунды (фильм, 1953)",Дик Пауэлл,1953
Чудесный колодец,Владимир Дегтярёв,
Шакалёнок и верблюд,,
Старые знакомые (мультфильм),Мстислав Пащенко,
"Сказка о попе и о работнике его Балде (мультфильм, 1956)",Анатолий Каранович,
Женевьева (фильм),Генри Корнелиус,1953
"Touché, Pussy Cat!",Уильям Ханна,
Приключения Мурзилки,,
Mice Follies,Джозеф Барбера,
Puppy Tale,Джозеф Барбера,
Posse Cat,Джозеф Барбера,
Pet Peeve,Джозеф Барбера,
Downhearted Duckling,Уильям Ханна,
Hic-cup Pup,Джозеф Барбера,
"Скотный двор (мультфильм, 1955)",Джон Хэлас,
Bewitched Bunny,Чак Джонс,
"Вернись, малышка Шеба",Дэниэл Манн,1952
Пирожок (мультфильм),Пётр Носов,
Маленький Шего,Д. Бабиченко,
Палка выручалка,Валентина Брумберг,
Миллион в мешке,Дмитрий Бабиченко,
Лесная история (мультфильм),,
Кораблик (мультфильм),Леонид Амальрик,
Девочка в джунглях,,
"Гадкий утёнок (мультфильм, 1956)",Владимир Дегтярёв,
"Колобок (мультфильм, 1956)",Роман Давыдов,
Двенадцать месяцев (мультфильм),,
Аист (мультфильм),Иван Аксенчук,
Небесное созданье,С. Образцов,
"Дикарь (фильм, 1953)",Ласло Бенедек,
Дети смешанной крови,Хидэо Сэкигава,
"Дело, которое надо уладить",Ян Рыбковский,1953
"Танюша, Тявка, Топ и Нюша",Виктор Громов,
В яранге горит огонь,Ольга Ходатаева,
"Царевна-лягушка (мультфильм, 1954)",Михаил Цехановский,
Девушки в ночи,Джек Арнольд,1953
The Two Mouseketeers,Уильям Ханна,
На даче (мультфильм),Григорий Ломидзе,
Карандаш и Клякса — весёлые охотники,Евгений Мигунов,
One Cab’s Family,Текс Эвери,
Push-Button Kitty,Джозеф Барбера,
Два жадных медвежонка,Владимир Дегтярёв,
Magical Maestro,Текс Эвери,
Джентльмены предпочитают блондинок,Говард Хоукс,1953
Кошелёк или жизнь,Джек Ханна,
"Соломенный бычок (мультфильм, 1954)",,
Подпись неразборчива,Александр Иванов,
Оранжевое горлышко,,
Стрела улетает в сказку,Леонид Амальрик,
Опасная шалость,Евгений Райковский,
Fit to be Tied,Джозеф Барбера,
На лесной эстраде,Иван Аксенчук,
"Мойдодыр (мультфильм, 1954)",Иван Иванов-Вано,
Лесной концерт (мультфильм),Иван Иванов-Вано,
Злодейка с наклейкой,В. Щербаков,
Козёл-музыкант (мультфильм),Борис Дёжкин,
В лесной чаще,,
"Девушка, у которой было всё",Ричард Торп,1953
Девушка в бегах,Артур Дж. Бекхард,1953
Золотая антилопа,Лев Атаманов,
Две ночи с Клеопатрой,,
"Снегурочка (мультфильм, 1952)",Иван Иванов-Вано,
Сармико,Ольга Ходатаева,
Двоеженец,Айда Лупино,1953
Зай и Чик,,
"Каштанка (мультфильм, 1952)",Михаил Цехановский,
Дахаб (фильм),Анвар Вагди,1953
Валидуб,Дмитрий Бабиченко,
Два бигха земли,Бимал Рой,1953
Грустная песня (фильм),Чарльз Уолтерс,1953
"Город, который никогда не спит (фильм, 1953)",Джон Х. Ауэр,1953
Дама без камелий,Микеланджело Антониони,1953
"Грозовой перевал (фильм, 1954)",Луис Бунюэль,1953
Аленький цветочек (мультфильм),Лев Атаманов,
"Город на дне моря (фильм, 1953)",Бадд Беттикер,1953
Гейша (фильм),Кэндзи Мидзогути,1953
Гордецы,,1953
Глен или Гленда,Эдвард Вуд,1953
Вслед за плывущими облаками,Миёдзи Иэки,
"Второй шанс (фильм, 1953)",Рудольф Мате,1953
"Враг общества № 1 (фильм, 1953)",Анри Вернёй,1953
Грехи Иезавели,Реджинальд Ле Борг,1953
Возвращение дона Камилло,Жюльен Дювивье,1953
Возвращение Василия Бортникова,Всеволод Пудовкин,1953
"Врата ада (фильм, 1953)",Тэйноске Кинугаса,1953
"Война миров (фильм, 1953)",Байрон Хэскин,1953
Вихри враждебные (фильм),Михаил Калатозов,
Калиф на час (фильм),Джон Пэдди Карстэрс,1955
К новому берегу,Леонид Луков,1955
Викки (фильм),Гарри Хорнер,1953
К лучшему,,
Вечер шутов,Ингмар Бергман,1953
К востоку от рая (фильм),Элиа Казан,1955
Вокзал Термини (фильм),Витторио Де Сика,1953
Исторический день,Владимир Ешурин,1955
"Ирена, домой!",Ян Фетке,1955
Индейский воин,Андре де Тот,
"Ингрид, история фотомодели",Геза фон Радваньи,1955
История в Феникс-сити,Фил Карлсон,1955
Зуд седьмого года,Билли Уайлдер,1955
Золотой бычок,Никита Акопян,1955
Земля Фараонов,Говард Хоукс,1955
Знак Венеры (фильм),Дино Ризи,1955
Звёзды на крыльях,Исаак Шмарук,1955
Земля и люди,Станислав Ростоцкий,1955
Зелёная музыкальная шкатулка,Умэцугу Иноуэ,
Зелёные огни,Сергей Сплошнов,1955
Здесь есть источник,Тадаси Имаи,
Зарево над Кладно,Владимир Влчек,1955
Замочить старушку,Александр Маккендрик,
За витриной универмага,Самсон Самсонов,1955
"Женщина на пляже (фильм, 1955)",Джозеф Пивни,1955
Женщина из племени апачей,Роджер Корман,
Ёкихи (фильм),Кэндзи Мидзогути,1955
Жестокая суббота,Ричард Флейшер,1955
Жених для Лауры,,1955
Женские грёзы,Ингмар Бергман,1955
Женщина без мужчин,Франклин Адреон,1955
Дьявольские куколки-подростки,,1955
"Дуня (фильм, 1955)",Иозеф фон Баки,1955
Дым в лесу,Евгений Карелов,1955
"Дорога (фильм, 1955)",Александр Столпер,1955
"Покушение (фильм, 1964)",Иржи Секвенс,1964
Дневник полицейского,Сэйдзи Хисамацу,
Дом из бамбука,Сэмюэл Фуллер,1955
Поезд милосердия,Искандер Хамраев,1964
Пока фронт в обороне,Юлий Файт,1964
Пожиратель тыкв,Джек Клейтон,1964
Повесть о Пташкине,Борис Крыжановский,1964
Пламя преданности,Корэёси Курахара,
"Поезд (фильм, 1964)",Джон Франкенхаймер,1964
Письма к живым,Валентин Виноградов,1964
"Первый снег (фильм, 1964)",Юрий Швырёв,1964
Перед судом истории,Фридрих Эрмлер,1964
"Доброе утро (фильм, 1955)",Андрей Фролов,1955
Перед революцией,Бернардо Бертолуччи,1964
Доктор на море,,
"Первые люди на Луне (фильм, 1964)",,
"Палата (фильм, 1964)",Георгий Натансон,1964
Отпуск репортёра,Владимир Янчев,1964
"Париж, когда там жара",Ричард Куайн,1964
Падение Римской империи (фильм),Энтони Манн,1964
Охота на мужчину (фильм),Эдуар Молинаро,1964
Остров Колдун (фильм),Татьяна Лукашевич,1964
Отец солдата,Резо Чхеидзе,1964
Осень шайеннов,Джон Форд,1964
Одиночество (фильм),Всеволод Воронин,
"Обыкновенное чудо (фильм, 1964)",Эраст Гарин,1964
Они шли на Восток,Джузеппе Де Сантис,1964
Обо всех этих женщинах,Ингмар Бергман,1964
Обнажённый поцелуй,Сэмюэл Фуллер,1964
Ночь игуаны (фильм),Джон Хьюстон,1964
Ноль три,Игорь Ельцов,1964
Непрошенная любовь,Владимир Монахов,1964
Новый нечистый из преисподней,Григорий Кроманов,1964
Непридуманная история,Владимир Герасимов,1964
"Непокорённый (фильм, 1964)",Ален Кавалье,1964
Особенная дружба (фильм),Жан Деланнуа,1964
Поразительная бестия,,1958
Пора таёжного подснежника,Ярополк Лапшин,
"Поликушка (фильм, 1958)",Кармине Галлоне,1958
Повесть о латышском стрелке,Павел Арманд,1958
Под стук колёс,Михаил Ершов,1958
Подвиги Геракла (фильм),Пьетро Франчиши,
Повесть наших дней,Алексей Маслюков,1958
"По ту сторону (фильм, 1958)",Фёдор Филиппов,1958
"Пламя (фильм, 1958)",Кон Итикава,1958
Плавучий дом (фильм),Мелвилл Шейвелсон,1958
"Плачущий убийца (фильм, 1958)",,
Золотой приз (фильм),Марк Робсон,1955
Пистолет в левой руке,Артур Пенн,1958
Песня матросов,Курт Метциг,1958
Печать зла,Орсон Уэллс,1958
Песня первой любви,Юрий Ерзинкян,1958
"Первый экзамен (фильм, 1958)",Хангельды Агаханов,1958
Пан Анатоль ищет миллион,Ян Рыбковский,1958
Пачка «Казбека»,Рашид Атамалибеков,1958
"Первый парень (фильм, 1958)",Сергей Параджанов,1958
Память сердца (фильм),Татьяна Лиознова,1958
Пепел и алмаз,Анджей Вайда,1958
Очередной рейс,Р. Гольдин,1958
"Очарован тобой (фильм, 1958)",Юлдаш Агзамов,
Очарованная сценой,Сидни Люмет,
Под небом древних пустынь,,
Ох… этот отпуск,Франц Антель,
"Отцы и дети (фильм, 1958)",Адольф Бергункер,1958
"Отверженные (фильм, 1958)",Жан-Поль ле Шануа,1958
Отчаянный ковбой,Делмер Дэйвс,1958
Оно! Ужас из космоса,,
"Освобождённый Иерусалим (фильм, 1958)",Карло Людовико Брагалья,1958
Олеко Дундич (фильм),Леонид Луков,1958
"Сердце матери (фильм, 1957)",Григорий Мелик-Авакян,1957
Секреты Чикаго,Сидни Сэлкоу,
Сентябрьские ночи,Войтех Ясны,1957
Сена встречает Париж (фильм),,
Семья Ульяновых (фильм),Валентин Невзоров,
Свидетель обвинения,Билли Уайлдер,1957
"Сводные братья (фильм, 1957)",Миёдзи Иэки,
"Святая Иоанна (фильм, 1957)",,
Седьмая печать,Ингмар Бергман,1957
Рядом с нами,Адольф Бергункер,1957
Свидание с тенью,Ричард Карлсон,1957
"Рождённые бурей (фильм, 1957)",Яков Базелян,
Сага о женщинах-викингах и об их путешествии к водам Великого морского змея,Роджер Корман,1957
"Рита (фильм, 1957)",Ада Неретниеце,1957
"Рис (фильм, 1957)",Тадаси Имаи,
Роман в Гаване,Ласло Бенедек,1957
Сисси. Трудные годы императрицы,Эрнст Маришка,1957
"Проклятие Франкенштейна (фильм, 1957)",Теренс Фишер,
Разгоняем танцульку,Роман Полански,1957
Пятеро под землёй,Тому Утида,
"Прощай, оружие! (фильм, 1957)",Чарльз Видор,1957
Сайонара (фильм),Джошуа Логан,1957
Принц и танцовщица,Лоренс Оливье,1957
Прекрасное время,Ален Таннер,1957
Преступление страсти,Герд Освальд,1957
Правда о женщинах,Мюриэль Бокс,1957
Последняя ведьма,Владимир Багна,1957
"Поцелуи (фильм, 1957)",Ясудзо Масумура,
Посёлок безумных,Минору Сибуя,
Порт де Лила (фильм),,
Сампо (фильм),Александр Птушко,1959
Сапфир (фильм),Бэзил Дирден,1959
Рождение Японии,Садао Яманака,
Рёв мыши (фильм),Джек Арнольд,1959
Последний куплет,,1957
Рассказы о Ленине (фильм),Сергей Юткевич,1957
Ребята и музыкальный автомат,Лучо Фульчи,1959
Верьте мне,Жиль Гранжье,1953
"Правда (фильм, 1957)",Виктор Добровольский,1957
Сверстницы,Василий Ордынский,1959
Великий воин Албании Скандербег,Сергей Юткевич,1953
"Варавва (фильм, 1953)",Альф Шёберг,1953
Великое прощание,Г. В. Александров,1953
Рио Браво,Говард Хоукс,1959
Багряный занавес,Александр Астрюк,1952
Арена смелых,Сергей Гуров,1953
Ангел в отпуске,Борживой Земан,1953
Алеко (фильм-опера),Сергей Сиделёв,1953
Алёша Птицын вырабатывает характер,Анатолий Граник,
"Аида (фильм-опера, 1953)",,1953
Адмирал Ушаков (фильм),Михаил Ромм,
Длинные зубы,,1955
"Беззаконие (фильм, 1953)",Константин Юдин,1953
Белая грива: Дикая лошадь,Альбер Ламорис,1953
"Длинноногий папочка (фильм, 1955)",Жан Негулеско,1955
Джентльмены женятся на брюнетках,Ричард Сэйл,
Длинная серая линия,Джон Форд,1955
Джо Макбет,Кен Хьюз,1955
Девушки без границ,Геза фон Радваньи,1955
"День добрый, улыбка",Клод Соте,1955
Девушка-джигит,Павел Боголюбов,1955
Дело Румянцева,Иосиф Хейфиц,1955
"Свидание вслепую (фильм, 1959)",Джозеф Лоузи,1959
"День, когда Земле пришёл конец (фильм, 1955)",Роджер Корман,
Девушка в розовом платье,Ричард Флейшер,1955
"Двойная опасность (фильм, 1955)",Р. Г. Спрингстин,1955
"Девдас (фильм, 1955)",Бимал Рой,1955
"Двенадцатая ночь (фильм, 1955)",Ян Фрид,
Далёкие облака,Кэйсукэ Киносита,
Гусары (фильм),,1955
Город теней,Уильям Уитни,
Господин 420,Радж Капур,1955
"Два капитана (фильм, 1955)",Владимир Венгеров,1955
Гость с Кубани,,
"Голубой крест (фильм, 1955)",Анджей Мунк,1955
Годзилла снова нападает,Мотоёси Ода,
"Герой нашего времени (фильм, 1955)",,
Герои устали,Ив Сиампи,1955
Вьетнам (фильм),Роман Кармен,1955
"Встреча (фильм, 1955)",Тофик Таги-заде,1955
"Визит (фильм, 1954)",Франсуа Трюффо,
"Всё, что дозволено небесами",Дуглас Сирк,
В поисках адресата,Амасий Мартиросян,1955
Внезапная опасность,Хьюберт Корнфилд,1955
"Волки (фильм, 1955)",Канэто Синдо,
Васёк Трубачёв и его товарищи (фильм),Илья Фрэз,1955
Нежная кожа,Франсуа Трюффо,1964
"В один прекрасный день (фильм, 1955)",Михаил Слуцкий,1955
Невидимый враг (За гранью возможного),Байрон Хаскин,1964
Невидимки (За гранью возможного),Герд Освальд,1964
Негасимое пламя,Ефим Дзиган,
"Глубокое синее море (фильм, 1955)",Анатоль Литвак,1955
Наш честный хлеб,Кира Муратова,1964
Не открывать до Судного дня,Герд Освальд,1964
Надя в Париже,Эрик Ромер,1964
Life with Tom,Джозеф Барбера,
The Three Little Pups,Текс Эвери,
Пропавший мышонок,Уильям Ханна,
T.V. of Tomorrow,Текс Эвери,
Jerry and Jumbo,Уильям Ханна,
Johann Mouse,Уильям Ханна,
Bully For Bugs,Чак Джонс,
Сердце-обличитель (мультфильм),,
Мелодия (мультфильм),Уорд Кимбалл,
Питер Пэн (мультфильм),Хэмилтон Ласк,
"Невероятно странные создания, которые перестали жить и превратились в зомби",,1964
Дак Доджерс в 24½ веке,Чак Джонс,
"Гудение, свист, звон и гул",Уорд Кимбалл,
Бешеная утка,Чак Джонс,
Мыши (За гранью возможного),Алан Кросланд младший,1964
Мутант (За гранью возможного),Алан Кросланд младший,
Москва — Генуя,Алексей Спешнев,1964
Мсье Жак и другие,Рачья Капланян,1964
"Мулан (фильм, 1964)",,
"Моя госпожа (фильм, 1964)",,
Мэри Поппинс (фильм),,
Морозко (фильм),Александр Роу,1964
Моя прекрасная леди (фильм),Джордж Кьюкор,
Мышь среди мужчин,Жак Пуатрено,1964
Молодожён,Валерий Исаков,1964
"Мирное время (фильм, 1964)",Борис Кимягаров,1964
Мир без солнца,Жак-Ив Кусто,1964
Храбрый Пак,,
Полёт на Луну (мультфильм),Валентина,
Непослушный котёнок,Мстислав Пащенко,
Волшебная птица (мультфильм),Виктор Громов,
"Ворона и лисица, кукушка и петух",Иван Аксенчук,
Волшебный магазин,,
Бобрёнок Чука,Аркадий Хинтибидзе,
Метель (фильм),Владимир Басов,
Братья Лю,Дмитрий Бабиченко,
"Меч (фильм, 1964)",,1964
Мать и мачеха (фильм),Леонид Пчёлкин,1964
Марш! Марш! Тра-та-та!,Раймондас Вабалас,1964
Сестрица Алёнушка и братец Иванушка (мультфильм),Ольга Ходатаева,
"Маска Красной смерти (фильм, 1964)",Роджер Корман,1964
Месье (фильм),Жан-Поль Ле Шануа,1964
Марш на Дрину (фильм),Живорад Митрович,1964
Марни (фильм),,1964
Лунный камень (За гранью возможного),Роберт Флорей,1964
Лушка (фильм),,1964
Лорна (фильм),Расс Мейер,
Лилит (фильм),Роберт Россен,1964
Лимонадный Джо,Олдржих Липский,1964
Летающая тарелка (фильм),Тинто Брасс,
Леди в клетке,Уолтер Грауман,1964
"Одолжи мне свою жену (фильм, 1958)",Эдит Карлмар,1958
"Обнажённое солнце (фильм, 1958)",Миёдзи Иэки,
Однажды на лошади…,Хэл Кантер,1958
Крашеный лис,Александр Иванов,
"Обманщики (фильм, 1958)",Марсель Карне,1958
О чём шумит река,Григорий Мелик-Авакян,1958
"Одинокие сердца (фильм, 1958)",Винсент Дж. Донахью,1958
"Ночной гость (фильм, 1958)",Владимир Шредель,1958
"Нечто, которое не могло умереть",Уилл Коэн,1958
Новые похождения Кота в сапогах,Александр Роу,1958
"Нет сильнее любви (фильм, 1958)",Эйсукэ Такидзава,
"Не пойман — не вор (фильм, 1958)",Жан Марсан,1958
Нападение людей-кукол,Берт Гордон,
Нападение 50-футовой женщины,Натан Юран,
Не склонившие головы,Стэнли Крамер,
Молодой Хоук,Делмер Дэйвс,1964
Ненавидящий полицейских (фильм),Уильям Бёрк,1958
Назарин (фильм),Луис Бунюэль,1958
Над Тиссой (фильм),Дмитрий Васильев,
На дорогах войны,Леон Сааков,1958
Нагие и мёртвые (фильм),Рауль Уолш,1958
На пороге жизни,Ингмар Бергман,1958
На зелёной земле моей,Ричард Викторов,1958
Мы из Семиречья,Султан-Ахмет Ходжиков,1958
На графских развалинах (фильм),Владимир Скуйбин,1958
Мы — вундеркинды,Курт Хофман,1958
Молодые львы (фильм),Эдвард Дмитрык,1958
Музыкальная комната,,1958
"Муха (фильм, 1958)",,
Муж (фильм),Джанни Пуччини,1958
"Мрак (фильм, 1958)",Уильям Касл,1958
"Монпарнас, 19",Жак Беккер,1958
"Мёртвое озеро (фильм, 1958)",Коре Бергстрём,1958
Мистер Икс,Юлий Хмельницкий,1958
Мистер Питкин в тылу врага,Джон Пэдди Кастэйрс,1958
Мегрэ расставляет силки,,
Месть Франкенштейна,Теренс Фишер,1958
Маяка с реки Бикин,Юлий Файт,1958
Помолвка в Цюрихе,Хельмут Койтнер,1957
Поп Чира и поп Спира,Софья Йованович,1957
На дальних берегах,Тофик Таги-заде,1958
"Поединок (фильм, 1957)",Владимир Петров,1957
Поминальная песня,Хэйноскэ Госё,1957
Мой дядюшка,Жак Тати,1958
Поддубенские частушки,Герберт Раппопорт,
Под золотым орлом,Мария Афанасьева,1957
"Победитель (фильм, 1957)",Умэцугу Иноуэ,
Повесть о чистой любви,Тадаси Имаи,
Под знойным небом,Лятиф Сафаров,1957
По путёвке Ленина,Латиф Файзиев,1957
Повесть о первой любви,Василий Левин,1957
Письмо из Сибири,Крис Маркер,1957
"Петля (фильм, 1957)",Войцех Хас,1957
Отряд Трубачёва сражается,Илья Фрэз,1957
Пастух (фильм),Искра Бабич,1957
Партизанская искра (фильм),Алексей Маслюков,
"Парижанка (фильм, 1957)",Мишель Буарон,1957
Отправление 13:30,Йозеф Мах,1957
Порванное платье,Джек Арнольд,1957
"Отдать всё, что есть у меня",,
Отарова вдова,Михаил Чиаурели,1957
Орёл и ястреб,Умэцугу Иноуэ,
Орлёнок (фильм),Эдуард Бочаров,1957
"Ответный удар (фильм, 1957)",Дени де Ла Пательер,
Они встретились в пути,Татьяна Лукашевич,1957
Любимый спорт мужчин?,,
"Обратной дороги нет (фильм, 1957)",,
Огненные вёрсты,Самсон Самсонов,
"Ночь демона (фильм, 1957)",Жак Турнёр,1957
"Ночной патруль (фильм, 1957)",Владимир Сухобоков,
"Ночь, когда приходил дьявол",Роберт Сиодмак,1957
Нищий и красавица,,
Ночи Кабирии,Федерико Феллини,1957
"Неугомонная (фильм, 1957)",Микио Нарусэ,1957
Нерешительный стрелок,Иво Томан,1957
Прощание с весной,Кэйсукэ Киносита,
Путь наверх (фильм),Джек Клейтон,1959
Прохвосты,Стено,1959
Округ Рэйнтри (фильм),Эдвард Дмитрык,1957
Проклятая путаница,Пьетро Джерми,1959
Принцесса с золотой звездой,,
Произведение искусства (фильм),Марк Ковалёв,1959
Прекрасная лгунья,Аксель фон Амбрессер,1959
Потерянная фотография,Лев Кулиджанов,1959
"Последние дни Помпеи (фильм, 1959)",Марио Боннар,1959
Подростки-зомби,,1959
"Поезд вне расписания (фильм, 1959)",Велько Булайич,1959
Подводные рифы,Виктор Невежин,1959
Порги и Бесс (фильм),Отто Премингер,1959
Подвиги Геракла: Геракл и царица Лидии,Пьетро Франчиши,
Повесть о молодожёнах,Сергей Сиделёв,1959
"Путешествие к центру Земли (фильм, 1959)",Генри Левин,1959
План 9 из открытого космоса,Эдвард Вуд-младший,
Плывущие водоросли,Ясудзиро Одзу,1959
Песня о Кольцове,Владимир Герасимов,1959
"Орёл (фильм, 1959)",Леонард Бучковский,1959
Первый день мира,Яков Сегель,1959
Отчий дом,Лев Кулиджанов,1959
Полевые огни,Кон Итикава,1959
Пижамная игра (фильм),Джордж Эбботт,1957
"Опасные связи (фильм, 1959)",,
Операция «Нижняя юбка»,Блейк Эдвардс,
Они звали его Амиго,Хайнер Каров,1959
Олекса Довбуш (фильм),Виктор Иванов,1959
Песня тележки,Сацуо Ямамото,
"Огниво (фильм, 1959)",Зигфрид Хартманн,1959
"Однажды ночью (фильм, 1959)",Александр Гинцбург,1959
"Страсть в пыли (фильм, 1960)",Уильям Ф. Клэкстон,1960
Слепой музыкант (фильм),,1960
"Спасите наши души (фильм, 1960)",Алексей Мишурин,1960
"Следы (фильм, 1960)",Яромил Йиреш,1960
Солдатский блюз,Норман Таурог,
"Собака на сене (фильм, 1960)",Артур Рамуш,1960
Сержант Ратледж,Джон Форд,
"Симаррон (фильм, 1960)",Энтони Манн,
Озорные повороты,Кальё Кийск,1959
Сезон страстей,Корэёси Курахара,
Северная повесть (фильм),Евгений Андриканис,1960
"Спартак (фильм, 1960)",Стэнли Кубрик,1960
Серёжа (фильм),Георгий Данелия,1960
"Сатана из седьмого класса (фильм, 1959)",Мария Каневская,1960
Русский сувенир,Григорий Александров,
"Рыжик (фильм, 1960)",Илья Фрэз,1960
Самолёт уходит в 9,Юрий Лысенко,1960
Роман и Франческа,Владимир Денисенко,
Рождённые жить,Лаэрт Вагаршян,
Пять патронных гильз,Франк Байер,1960
Рокко и его братья,Лукино Висконти,1960
Северная радуга,Арташес Ай-Артян,1960
Пылающая звезда,Дон Сигел,
Психо,Альфред Хичкок,1960
Путешествие на воздушном шаре (фильм),Альбер Ламорис,1960
Прыжок на заре,Иван Лукинский,1960
"Простая история (фильм, 1960)",Юрий Егоров,1960
Приключения учительницы,,1960
Привидения в замке Шпессарт,Курт Хофман,1960
Пять опозоренных женщин,,
Приключение (фильм),Микеланджело Антониони,1960
Пригородные поезда (фильм),Жан Бастия,1960
"Преступление и наказание (фильм, 1956)",,
"Преступление (фильм, 1960)",,
Поезда под пристальным наблюдением,Иржи Менцель,1966
"Пять дней, пять ночей",Лео Арнштам,1960
Понедельник или вторник,Ватрослав Мимица,1966
"Прощайте, голуби",Яков Сегель,1960
Поездка отца,Дени де Ла Пательер,
"Погоня (фильм, 1966)",Артур Пенн,1966
Побег в никуда,Монте Хеллман,1966
Большая драка дона Камилло,Кармине Галлоне,1955
"Большие манёвры (фильм, 1955)",Рене Клер,1955
Беднее церковной мыши,,1955
Большая наводка,Фрэнк Макдональд,1955
Белый пудель (фильм),Марианна Рошаль,1955
Последний жулик,Вадим Масс,
"Беззаконие (фильм, 1955)",Льюис Аллен,1955
Ангел в горах,Борживой Земан,1955
Аллигатор по имени Дэйзи,Джей Ли Томпсон,1955
"Аристократы (фильм, 1955)",Дени де Ла Пательер,
Адский остров,Фил Карлсон,1955
Криницы (фильм),Иосиф Шульман,1964
"Бахтияр (фильм, 1955)",Лятиф Сафаров,1955
"Лёгкая жизнь (фильм, 1964)",Вениамин Дорман,1964
Куколки (фильм),,
Крупица ночи,Нобору Накамура,
Крик тишины (За гранью возможного),Чарльз Хаас,1964
Космический сплав,Тимофей Левчук,1964
Копия человека,Герд Освальд,1964
Конец нашего света,Ванда Якубовская,1964
Кольцо шпионов,,1964
Когда улетают аисты,Вадим Лысенко,1964
Комедия ужасов (фильм),Жак Турнёр,1964
Кого мы больше любим,Ариф Бабаев,1964
Сердитая тишина,Гай Грин,
Этот остров Земля,Джозеф М. Ньюман,1955
Улыбки летней ночи,Ингмар Бергман,1955
Эбботт и Костелло встречают полицейских из Кистоуна,,
Это прибыло со дна моря,,
Эбботт и Костелло встречают Мумию,Чарльз Лэмонт,1955
Чудовищный снежный человек,Исиро Хонда,1955
Фантом с глубины 10 000 лиг,,
Эксперимент Куотермасса,Вэл Гест,
Тарантул (фильм),Джек Арнольд,1955
Ключи от неба,Виктор Иванов,1964
Капитан Нуль (фильм),Леонид Лейманис,1964
Когда песня не кончается,Роман Тихомиров,1964
"Ко мне, Мухтар!",Семён Туманов,1964
Канатоходцы,Равиль Батыров,1964
