film_title,director
"О-би, о-ба. Конец цивилизации",Пётр Шулькин
Ночь кометы,Том Эберхардт
Последний звёздный боец,Ник Кастл
Приключения Бакару Банзая: Через восьмое измерение,У. Д. Рихтер
Конан-разрушитель,Ричард Флейшер
Завещание профессора Доуэля,Леонид Менакер
Ледяные пираты,Стюарт Рэффилл
Гремлины,"Джо ДантеПриключения приходящей няни (1987)Отель разбитых сердец (1988)Один дома (1990)Поймёт лишь одинокий (1991)Один дома 2: Потерявшийся в Нью-Йорке (1992)Миссис Даутфайр (1993)Девять месяцев (1995)Мачеха (1998)Двухсотлетний человек (1999)Гарри Поттер и философский камень (2001)Гарри Поттер и Тайная комната (2002)Богема (2005)Рок в 3D (2005, документальный)Ночь с Бет Купер (2009)Перси Джексон и Похититель молний (2010)Эплебаум (2012, телефильм)Пиксели (2015)Рождественские хроники 2 (2020)Клуб убийств по четвергам (2025)Леди Баг и Супер-Кот (.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}TBA)Мелодия (TBA)Тайная жизнь дорожных бригад (TBA)Привет, призрак (TBA)Дом секретов (TBA, сериал)"
Гостья из будущего,Павел Арсенов
"Воспламеняющая взглядом (фильм, 1984)",Марк Л. Лестер
"Годзилла (фильм, 1984)",Кодзи Хасимото
Возвращение живых мертвецов,"Дэн О'БэннонВозвращение живых мертвецов (1985, также сценарист)Воскресший (1991)"
В компании волков,Нил Джордан
Будет ласковый дождь (мультфильм),Назим Туляходжаев
Блистающий мир (фильм),Булат Мансуров
Бунт роботов (фильм),Майкл КрайтонЗападный мир (1973)Кома (1978)Большое ограбление поезда (1978)Лукер (1981)Бунт роботов (1984)
Бесконечная история (фильм),Вольфганг Петерсен
Смерть Дружбы,Питер Уоллен
Скрытый враг,Джек Шолдер
"Проклятие (фильм, 1987)",Дэвид Кит
"Робокоп (фильм, 1987)",Пол Верховен
Принцесса-невеста,Роб Райнер
Почти стемнело,Кэтрин Бигелоу
"Принцесса с Луны (фильм, 1987)",Кон Итикава
"Ночной полёт (фильм, 1987)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Robert Collector"
Переполох в городе жаб,Дональд Джексон
Нацисты-сёрфингисты должны умереть,Питер Джордж
Мистер Индия,Шекхар Капур
UFOria,Джон Биндер
Трэвис: Правдивая история Трэвиса Уолтона,Дженнифер Стайн
"Чудовище (фильм, 1985)",Уильям Мелоун
Турбаза «Волчья»,Вера Хитилова
На серебряной планете,Анджей Жулавский
Тихая Земля (фильм),Джеф Мёрфи
Эвоки. Битва за Эндор,Джим УитКен УитВзгляд на жизнь (1965)Хёрби (1966)Фрейхейт (1966)1:42.08 (1966)Каждый жил в городе Претти Хау (1967)Император (1967)6-18-67 (1967)Кинематографист: Дневники Джорджа Лукаса (1968)Американские граффити (1973)THX 1138Электронный лабиринт: THX 1138 4EB (1967)THX 1138 (1971)Звёздные войныЭпизод IV. Новая надежда (1977)Эпизод I. Скрытая угроза (1999)Эпизод II. Атака клонов (2002)Эпизод III. Месть ситхов (2005)
Ярость зверя,Витторио Рамбальди
Энди и воздушные рейнджеры,Дебора Брок
Франкенштейн освобождённый,Роджер Корман
Спонтанное возгорание,Тоуб Хупер
"Сны (фильм, 1990)",Акира Куросава
Розенкранц и Гильденстерн мертвы (фильм),Том Стоппард
"Чужие (фильм, 1986)","Джеймс КэмеронПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
Семейство Эпплгейтов,Майкл Леманн
Полёт навигатора,Рэндал Клейзер
Пришельцы с Марса,"Тоб ХуперВозвращение живых мертвецов (1985, также сценарист)Воскресший (1991)"
Письма мёртвого человека,Константин Лопушанский
Сверхразумные: Люди с другой планеты,Питер Р. Хант
Ночные кошмары и фантастические видения (телесериал),Роб Боумен
"Матадор (фильм, 1986)",Педро Альмодовар
Летние впечатления о планете Z,Евгений Марковский
Ловушка для кошек,Бела Терновски
"Золотая цепь (фильм, 1986)",Александр Муратов
"Короткое замыкание (фильм, 1986)",Джон Бэдэм
Эдвард Руки-ножницы,Тим Бёртон
"Готика (фильм, 1986)",Кен Рассел
"Дети солнца (фильм, 1986)",Ален Джонсон
Защита государства,Дэвид Друри
Горшок (Альфред Хичкок представляет),Тим Бёртон
Горец (фильм),Рассел Малкэхи
Кин-дза-дза!,Георгий Данелия
Генри: портрет серийного убийцы,Джон Макнотон
"Га, га. Слава героям",Пётр Шулькин
Аладдин и его волшебная лампа,Тим Бёртон
"Мио, мой Мио (фильм)",Владимир Грамматиков
Бигглз,Джон Хью
Манекен (фильм),Майкл Готтлиб
Крипозоиды,Дэвид ДеКото
Лиловый шар (фильм),Павел Арсенов
Космические яйца,Мел Брукс
Кошмар на улице Вязов 3: Воины сна,Чак РасселЖенщина в комнате (1983)Заживо погребённый (1990)Побег из Шоушенка (1994)Зелёная миля (1999)Мажестик (2001)Мгла (2007)
Конец Вечности (фильм),Андрей Ермаш
Кингсайз,Юлиуш Махульский
Инопланетное рагу,Питер Джексон
Зеркало для героя,Владимир Хотиненко
Заклятие долины змей,Марек Пестрак
"Дом с привидениями (фильм, 1987, СССР)",Ефим Гальперин
"Дом с привидениями (фильм, 1987, Италия)",Умберто Ленци
"Дюна (фильм, 1984)","Дэвид ЛинчПолнометражные фильмыГолова-ластик (1977)Человек-слон (1980)Дюна (1984)Синий бархат (1986)Дикие сердцем (1990)Твин Пикс: Сквозь огонь (1992)Шоссе в никуда (1997)Простая история (1999)Малхолланд Драйв (2001)Внутренняя империя (2006)Короткометражные фильмыШестеро заболевают (1967)Алфавит (1968)Бабушка (1970)Женщина с отрубленной ногой (1974)Ковбой и француз (1988)Индустриальная симфония №, 1: Сон девушки с разбитым сердцем (1990)Пред­чувст­вие действий зла (1995)Тёмная комната (2002)Кролики (2002)Страна тупых (2002)Лодка (2007)Абсурд (2007)Леди Голубой Шанхай (2010)Что сделал Джек? (2017)Музыкальные видеоWicked Game (1990)Longing (1995)Shot in the Back of the Head (2009)Came Back Haunted (2013)"
Друг (фильм),Леонид Квинихидзе
Китайская история о призраках,Тони Чхин
Восставший из ада,Клайв БаркерВосставший из адаНочной народПовелитель иллюзий
Девушки-рабыни из бесконечности,Кен Диксон
Внутреннее пространство,Джо Данте
Волчонок 2,Кристофер Лейтч
Батарейки не прилагаются,Мэттью Роббинс
Амазонки на Луне,Джо ДантеДжон ЛэндисКарл ГотлибПитер ХортонРоберт К. Уайсс
"Варвары (фильм, 1987)",Руджеро Деодато
"Бегущий человек (фильм, 1987)",Пол Майкл Глейзер
"Странная история доктора Джекила и мистера Хайда (фильм, 1985)",Александр Орлов
Солдаты вне времени,Дэнни Билсон
Рыжая Соня (фильм),Ричард Флейшер
Радиоактивные грёзы,Альберт Пьюн
"Последняя надежда (фильм, 1985)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Пол ДонованТони Рэндел"
Охотники будущего,Сирио Сантьяго
"Предостережение (фильм, 1985)",Хал Барвуд
Нечто особенное!,Пол Шнейдер
Пульгасари (фильм),Син Сан Ок
"Мост в Терабитию (фильм, 1985)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Эрик Тилль"
Назад в будущее,Роберт ЗемекисЯ хочу держать тебя за руку (1978)Подержанные автомобили (1980)Роман с камнем (1984)Назад в будущее (1985)Кто подставил кролика Роджера (1988)Назад в будущее 2 (1989)Назад в будущее 3 (1990)Смерть ей к лицу (1992)Форрест Гамп (1994)Контакт (1997)Что скрывает ложь (2000)Изгой (2000)Полярный экспресс (2004)Беовульф (2007)Рождественская история (2009)Экипаж (2012)Прогулка (2015)Союзники (2016)Удивительный мир Марвена (2018)Ведьмы (2020)Пиноккио (2022)Тогда. Сейчас. Потом (2024)
Корабль пришельцев,Сергей Никоненко
Кокон (фильм),Рон Ховард
Колёса в огне,Сирио Сантьяго
Вельд (фильм),Назим Туляходжаев
Как стать счастливым,Юрий Чулюкин
Враг мой (фильм),Вольфганг Петерсен
Гум-Гам (фильм),Олег Ерышев
Жизненная сила (фильм),"Тоуб ХуперВозвращение живых мертвецов (1985, также сценарист)Воскресший (1991)"
"День гнева (фильм, 1985)",Суламбек Мамилов
Возвращение в страну Оз (фильм),Уолтер МёрчВзгляд на жизнь (1965)Хёрби (1966)Фрейхейт (1966)1:42.08 (1966)Каждый жил в городе Претти Хау (1967)Император (1967)6-18-67 (1967)Кинематографист: Дневники Джорджа Лукаса (1968)Американские граффити (1973)THX 1138Электронный лабиринт: THX 1138 4EB (1967)THX 1138 (1971)Звёздные войныЭпизод IV. Новая надежда (1977)Эпизод I. Скрытая угроза (1999)Эпизод II. Атака клонов (2002)Эпизод III. Месть ситхов (2005)
Болваны из космоса,Майк Ходжес
27-й день,Уильям Эшер
Чужие среди нас,"Джон КарпентерТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
Фантазм 2,Дон Коскарелли
Тэн Зан: Последняя миссия,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Фердинандо Бальди"
Узники «Ямагири-мару» (мультфильм),Алексей Соловьёв
Бразилия (фильм),Терри Гиллиам
"Сумерки (фильм, 1988)",Пол Майерсберг
Связанные насмерть,Дэвид Кроненберг
Обезьяньи проделки,Джордж Ромеро
Вариант «Зомби»,Евгений Егоров
Ньюки (фильм),Сиас ОдендальМайкл Паклеппа
Незваный,Грейдон Кларк
Мёртвый полицейский,Марк Голдблатт
"Мастер и Маргарита (сериал, 1988)",Мацей Войтышко
Короткое замыкание 2,Кеннет Джонсон
Ловчий смерти и воины ада,"Альфонсо ""Пончо"" Корона"
Нация пришельцев,Грэм Бэйкер
Город Зеро,Карен Шахназаров
Дни затмения,Александр Сокуров
Доверчивый дракон,Леонид Шварцман
Гандахар: Световые годы,Рене Лалу (Rene Laloux)
Говард-утка,Уиллард ХайкВзгляд на жизнь (1965)Хёрби (1966)Фрейхейт (1966)1:42.08 (1966)Каждый жил в городе Претти Хау (1967)Император (1967)6-18-67 (1967)Кинематографист: Дневники Джорджа Лукаса (1968)Американские граффити (1973)THX 1138Электронный лабиринт: THX 1138 4EB (1967)THX 1138 (1971)Звёздные войныЭпизод IV. Новая надежда (1977)Эпизод I. Скрытая угроза (1999)Эпизод II. Атака клонов (2002)Эпизод III. Месть ситхов (2005)
Высшая черта,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Нелло Россати"
Бумажный дом (фильм),Бернард Роуз
Ангелы-хранители (фильм),Джон Хэсс
Роботы-бойцы (фильм),Стюарт Гордон
13-й апостол,Сурен Бабаян
Проект «Пришелец»,Фрэнк Шилдс
Ведьмовство (фильм),Фабрицио Лауренти
"Помутнение разума (фильм, 1992)",Стив Барнетт
Подземелье ведьм,Юрий Мороз
По ту сторону тьмы,Клаудио Фрагассо
Лист Мёбиуса (фильм),Леонид Партигул
Ночной народ,Клайв БаркерВосставший из адаНочной народПовелитель иллюзий
"Наперегонки со временем (фильм, 1990)",Брюс Сет Грин
Мегавилль,Питер Ленер
Луна-44,Роланд Эммерих
"Кровавая луна (фильм, 1990)",Алек Миллз
Духов день (фильм),Сергей Сельянов
Железо (фильм),Ричард Стэнли
Дрожь земли,Рон Андервуд
Доминус,Александр Хван  Марина Цурцумия
Гремлины 2: Новенькая партия,Джо Данте
Горец 2: Оживление,Расселл Малкэхи
"Ведьмы (фильм, 1990)",Николас Роуг
Бесконечная история 2,Джордж Т. Миллер
В поисках Олуэн,Валерий Угаров
"Вспомнить всё (фильм, 1990)","Пол ВерховенВозвращение живых мертвецов (1985, также сценарист)Воскресший (1991)"
Ангел тьмы,Крэйг Р. Бэксли
"Яд (фильм, 1991)",Тодд Хейнс
"Три дня (фильм, 1991)",Шарунас Бартас
Терминатор 2: Судный день,"Джеймс КэмеронПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
Неоновый город,Монте Маркхэм
Повелитель зверей 2: Сквозь врата времени,Сильвио Табет
Ракетчик (фильм),Джо Джонстон
Назад в будущее 3,Роберт ЗемекисЯ хочу держать тебя за руку (1978)Подержанные автомобили (1980)Роман с камнем (1984)Назад в будущее (1985)Кто подставил кролика Роджера (1988)Назад в будущее 2 (1989)Назад в будущее 3 (1990)Смерть ей к лицу (1992)Форрест Гамп (1994)Контакт (1997)Что скрывает ложь (2000)Изгой (2000)Полярный экспресс (2004)Беовульф (2007)Рождественская история (2009)Экипаж (2012)Прогулка (2015)Союзники (2016)Удивительный мир Марвена (2018)Ведьмы (2020)Пиноккио (2022)Тогда. Сейчас. Потом (2024)
Кукольный человек (фильм),Альберт Пьюн
"Капитан Америка (фильм, 1990)",Альберт Пьюн
"Искренне, безумно, сильно",Энтони Мингелла
Инопланетянин в чужом теле,Джон Макноутон
Зерам,Кэйта Амэмия
Деликатесы (фильм),Жан-Пьер ЖёнеМарк Каро
Робокоп 2,Ирвин Кершнер
Гайвер (фильм),Стив ВангСкриминг Мэд Джордж
Волшебная сказка (мультфильм),Йорам Гросс
Четвёртая планета,Дмитрий Астрахан
Дом под звёздным небом,Сергей Соловьёв
Человек тьмы 2: Возвращение Дюрана,Брэдфорд Мэй
Тюрьма 3000 года,Аарон Осборн
"Судья Дредд (фильм, 1995)",Дэнни Кэннон
Странные дни,"Кэтрин БигелоуПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
Сканнер-полицейский 2,Стив Барнетт
"Роковые яйца (фильм, 1995)",Сергей Ломкин
Годзилла против Кинга Гидоры,Кадзуки Омори
Рыцарь дорог 2000,Алан Леви
Пчёлы-убийцы (фильм),Рокни О’Бэннон
"Ночные пришельцы (фильм, 1995)",Хорхе Монтеси
Поколение игры «Doom»,Грегг Араки
Смертельная битва (фильм),Пол У. С. Андерсон
"Пророчество (фильм, 1995)",Грегори Уайден
Кулак Северной Звезды (фильм),Тони Рендел
Харрисон Бержерон,Брюс Питтман
Крикуны,"Кристиан ДюгейВозвращение живых мертвецов (1985, также сценарист)Воскресший (1991)"
"Женщина-оса (фильм, 1995)",Джим Уайнорски
Киборг-ловец,Кристофер Ромеро
Киборг-полицейский 3,Йосси Вайн
"Дом призраков (фильм, 1995)",Льюис Гилберт
Джуманджи (фильм),Джо Джонстон
Джонни-мнемоник,Роберт Лонго
Конго (фильм),Фрэнк Маршалл
Годзилла против Разрушителя,Такао Окавара
Гамера: Защитник Вселенной,Сюсукэ Канэко
Голографический человек,Ричард Пепин
Водный мир,Кевин РейнольдсКевин Костнер (в титрах не указан)
Виртуозность,Бретт Леонард
Могучие морфы: Рейнджеры силы,Брайан Спайсер
Виртуальное соблазнение,Пол Зиллер
Аманда и инопланетянин,Джон Кролл
Универсальный солдат,Роланд Эммерих
На опасной волне,Тед Николау
Считанные секунды,Тони МэйлэмЙен Шарп
Филадельфийский эксперимент 2,Стивен Корнуэлл
Дракула: Мёртвый и довольный,Мел Брукс
Леоло,Жан-Клод Лозон
Исповедь невидимки,"Джон КарпентерТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
Поворот винта (фильм),Русти Леморанд
"Затерянный мир (фильм, 1992)",Тимоти Бонд
Годзилла против Мотры: Битва за Землю,Такао Окавара
Замечательная поездка,Дэвид Туи
Геи-ниггеры из далёкого космоса,Мортен Линдберг
Бэтмен возвращается,Тим Бёртон
Живая мертвечина,Питер Джексон
Армия тьмы,Сэм Рэйми
Яйцеголовые,Стив Бэррон
Человек-робот,Джек Эрсгард
Время Икс,Александр Бурцев
Человек в воздухе,Борис Акулиничев
Робокоп 3,Фред Деккер
"Рассвет (фильм, 1993)",Стивен Толкин
Последний киногерой,Джон МактирнанПоцелуй навылет (2005)Железный человек 3 (2013)Славные парни (2016)Хищник (2018)Грязная игра (2025)
Долина папоротников: Последний тропический лес,Уильям Кройер
Разрушитель (фильм),Марко Брамбилла
Фантазм 3: Повелитель мёртвых,Дон Коскарелли
Парк юрского периода (фильм),Стивен СпилбергЗападный мир (1973)Кома (1978)Большое ограбление поезда (1978)Лукер (1981)Бунт роботов (1984)
Огонь в небе,Роберт Либерман
Призрак в машине,Рэйчел Талалай
Операция «Мутанты»,Алекс де ла Иглесиа
"Немезида (фильм, 1992)",Альберт Пьюн
Небесные куколки,Дэвид ДеКото
"Нападение 50-футовой женщины (фильм, 1993)",Кристофер Гест
Невыразимый ужас 2,Жан-Пол Уеллетт
Коммунальная история,Алексей Шелманов
Космические спасатели,Дэвид Бёртон Моррис
НЛО: Не лезь в очко,Тони Доу
Годзилла против Мехагодзиллы 2,Такао Окавара
Карнозавр (фильм),Адам Саймон
Монолит (фильм),Джон Эйрс
"Прибытие (фильм, 1996)",Дэвид Туи
Повелитель зверей 3: Глаз Браксуса,Гэбриэлль Бомонт
Не называй меня малышкой,Дэвид Хоган
Бегущий во времени,Майкл Мазо
Марс атакует!,Тим Бёртон
Дрожь земли 2: Повторный удар,С. С. Уилсон
Джеймс и гигантский персик (мультфильм),Генри Селик
Драгоценная находка,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Филипп Мора"
Гамера 2: Нападение космического легиона,Сюсукэ Канэко
Эволвер,Марк Росман
"Загадай желание (фильм, 1996)",Блэр Трэ
Ярость дракона,Дэвид Хевенер
Цифровой человек (фильм),Филлип Рот
Шутник,Тоби ДаккеттСаймон Спрэклинг
Человек против киборга,Альберт Пьюн
Побег из Лос-Анджелеса,"Джон КарпентерТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
"День независимости (фильм, 1996)",Роланд Эммерих
Фантастическая четвёрка (невыпущенный фильм),Олей Сэссон
Техно сапиенс,Ламар Кард
Сканнер-полицейский (фильм),Пьер Дэвид
Столкновение с будущим,Эрик Паркинсон  Мэтт Ривз Олей Сэссон
Шоу Трумана,Питер Уир
Эмбрион (фильм),Брайан Юзна
Франкенштейн Мэри Шелли,"Кеннет БранаРазвлекающиеся девушки и коридорный (1962)Сегодня вечером — наверняка (1962)Битва за пределами Солнца (1962)Безумие-13 (1963)Ты теперь большой мальчик (1966)Радуга Финиана (1968)Люди дождя (1969)Крёстный отец (1972)Разговор (1974)Крёстный отец 2 (1974)Апокалипсис сегодня (1979)От всего сердца (1982)Бойцовая рыбка (1983)Изгои (1983)Клуб «Коттон» (1984)Капитан Ио (1986)Пегги Сью вышла замуж (1986)Сады камней (1987)Такер: Человек и его мечта (1988)Нью-йоркские истории (новелла «Жизнь без Зои», 1989)Крёстный отец 3 (1990)Дракула (1992)Крёстный отец. Трилогия. 1901—1980 (1992)Джек (1996)Благодетель (1997)Молодость без молодости (2007)Тетро (2009)Между (2011)Distant Vision (2015)Мегалополис (2024)"
Шестиструнный самурай,Лэнс Манджиа
Фантазм 4: Забвение,Дон Коскарелли
Сканирование мозга,Джон Флинн
"Тёмный город (фильм, 1998)","Алекс ПройасЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
Спорт будущего,Эрнест Дикерсон
Факультет (фильм),Роберт РодригесУбить миссис Тингл (1999)Крик 7 (2026)
Солдатики (фильм),Джо Данте
Секретные материалы: Борьба за будущее,Роб Боумен
Плезантвиль (фильм),Гэри Росс
"Сфера (фильм, 1998)",Барри ЛевинсонЗападный мир (1973)Кома (1978)Большое ограбление поезда (1978)Лукер (1981)Бунт роботов (1984)
Особь 2,Питер Медак
Отель «Новая роза»,Абель Феррара
Столкновение с бездной,Мими Ледер
"Солдат (фильм, 1998)",Пол У. С. Андерсон
Затерянные в космосе (фильм),Стивен Хопкинс
"Затерянный мир (фильм, 1998)",Боб Кин
"Доктор Дулиттл (фильм, 1998)",Бетти Томас
Долина Папоротников 2: Волшебное спасение,Фил РобинсонДэйв Маршалл (сорежиссёр)
Беовульф: Анимированный эпос,Юрий Кулаков
Рыцарь дорог 2010,Сэм Пиллсбери
Русская симфония,Константин Лопушанский
Репликатор (фильм),Филип Джексон
Повелитель страниц,Джо Джонстон
Погоня во времени,Дэвид Джанкола
Побег невозможен,Мартин Кэмпбелл
Птицы 2: Край земли,Рик Розенталь (под псевдонимом Алан Смити)
"Патруль времени (фильм, 1994)",Питер Хайамс
"Беги, Лола, беги",Том Тыквер
Небесный крестовый поход,Клаус Кнозель Хольгер Нойхаузер
"Армагеддон (фильм, 1998)",Майкл БэйМиссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)
Мир драконов,Тед Николау
Наблюдатели 3,Джереми Стэнфорд
"Машина (фильм, 1994)",Франсуа Дюпейрон
Лунный полицейский,Боаз Дэвидсон
Машина смерти,Стивен Норрингтон
Звёздные врата (фильм),Роланд Эммерих
Дожди в океане,Виктор АристовЮрий Мамин
"Волшебник Изумрудного города (фильм, 1994)",Павел Арсенов
Годзилла против Космического Годзиллы,Кэнсё Ямасита
Бесконечная история 3,Питер Макдональд
Кукловоды (фильм),"Стюарт ОрмЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
"Маска (фильм, 1994)",Чак Рассел
Человек-ракета,Стюарт Гиллард
"Фольксваген-жук (фильм, 1997)",Пейтон Рид
Чужой: Воскрешение,Жан-Пьер ЖёнеМиссия «Серенити»МстителиМного шума из ничегоМстители: Эра Альтрона
В пасти безумия,"Джон КарпентерТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
Тысяча чудес Вселенной,Жан Мишель Ру
Сквозь горизонт,Пол Андерсон
Пятый элемент (фильм),Люк Бессон
Липкие пальчики времени,Хилари Брауэр
"Почтальон (фильм, 1997)",Кевин Костнер
Люди в чёрном (фильм),Барри Зонненфельд
Куб (фильм),Винченцо Натали
Турборейнджеры,Дэвид УиннингШуки Леви
Смертельная битва 2: Истребление,Джон Р. Леонетти
Контакт (фильм),Роберт ЗемекисЯ хочу держать тебя за руку (1978)Подержанные автомобили (1980)Роман с камнем (1984)Назад в будущее (1985)Кто подставил кролика Роджера (1988)Назад в будущее 2 (1989)Назад в будущее 3 (1990)Смерть ей к лицу (1992)Форрест Гамп (1994)Контакт (1997)Что скрывает ложь (2000)Изгой (2000)Полярный экспресс (2004)Беовульф (2007)Рождественская история (2009)Экипаж (2012)Прогулка (2015)Союзники (2016)Удивительный мир Марвена (2018)Ведьмы (2020)Пиноккио (2022)Тогда. Сейчас. Потом (2024)
Парк юрского периода: Затерянный мир,Стивен Спилберг
Гаттака,Эндрю НикколПродажи Винса Д'Анжело (1982)Игра в рейтинг (1984)Сбрось маму с поезда (1987)Война Роузов (1989)Хоффа (1992)Матильда (1996)Убить Смучи (2002)Дюплекс (2003)Ворчуны (2016)
Звёздный десант (фильм),Пол Верховен
Хранители (фильм),Зак Снайдер
Район № 9,Нил Бломкамп
Пандорум,Кристиан Альварт
Нерождённый,"Дэвид С. ГойерЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
Под горой (фильм),Джонатан Кинг
Носители,Алекс ПасторДавид Пастор
