film_title,genre
Смешарики. Легенда о золотом драконе,Мультипликационная детская приключенческая кинокомедия
"
",романтическая комедия спокон
"
",махосёдзё
Снежная королева 3: Огонь и лёд,приключения семейный комедия сказка
Крякнутые каникулы,комедия приключения
Волки и овцы: бееезумное превращение,приключения комедия семейный сказка
Дети против волшебников (мультфильм),фэнтезийный фильм приключенческий фильм семейный фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda религиозный фильм вд
"
",приключения романтическая комедия этти гарем сэйнэн
"
",фэнтези приключения комедия
"
",комедия этти  школа
"
",приключения фэнтези комедия  романтика драма визуальный роман
"
",повседневность романтическая драма комедия
"
",фэнтези музыкальный приключения
Re:Zero. Жизнь с нуля в альтернативном мире,приключения тёмное фэнтези драма исэкай сэйнэн
"
",комедия мистика повседневность фэнтези
"
",спокон отомэигра спортивный симулятор
"
",драма постапокалиптика научная фантастика визуальный роман
"
",романтика драма повседневность мистика трагедия сэйнэн сёдзё сэйнэн сёдзё
"
",приключения фэнтези боевик научная фантастика сэйнэн
"
",научная фантастика комедия визуальный роман
"
",комедия повседневность визуальный роман
"
",боевик драма мистика
"
",приключения мистика комедия
"
",приключения научная фантастика романтическая комедия меха антиутопия Визуальный роман Визуальный роман
"
",романтическая комедия
"
",комедия  романтика этти фэнтези гарем
"
",махосёдзё комедия приключения
"
",приключения  романтика драма комедия мистика Визуальный роман Саундтрек
"
",приключения драма махосёдзё визуальный роман Файтинг Файтинг
"
",саспенс мистика детектив
"
",комедия музыкальный  школа повседневность сёнэн Ритм Ритм
"
",повседневность комедия
"
",меха
"
",комедия научная фантастика психологическая драма  романтика
"
",фэнтези комедия драма спокон футбол
"
",комедия спокон этти
"
",боевик романтическая комедия научная фантастика гарем эротика
"
",фэнтези приключения драма
"
",комедия фантастика пародия приключения драма
"
",фэнтези драма научная фантастика
"
",драма повседневность
"
",комедия повседневность фэнтези
"
",боевик драма фэнтези Японская ролевая игра Японская ролевая игра
"
",боевик комедия махосёдзё фэнтези этти
"
",мистика боевик тёмное фэнтези исэкай
"
",драма  романтика повседневность сёнэнай
"
",комедия приключения сёнэн
"
",повседневность ужасы боевик фэнтези мистика
"
",драма ужасы мистика приключения сэйнэн Actionadventure Actionadventure
"
",комедия повседневность Махосёдзё сэйнэн Отомэ
Cyborg 009,научная фантастика боевик драма приключения Экшен Экшен Экшен Патинко
"
",драма комедия научная фантастика  школа супергерои
"
",повседневность музыкальная комедия
"
",приключения фэнтези сэйнэн
"
",комедия фантастика  школа драма приключения
"
",комедия музыкальный повседневность гарем Музыкальная игра Музыкальная игра
"
",комедия драма  романтика повседневность
"
",повседневность приключения
"
",романтическая комедия
"
",Юридическая драма
"Я — Сакамото, а что?",комедия повседневность
"
",комедия повседневность музыкальный сёдзё
Форма голоса,романтическая драма
Тетрадь дружбы Нацумэ,драма мистика комедия повседневность
Твоё имя,романтическая драма приключения мистика
Семь смертных грехов (манга),приключения фэнтези комедия
Проза бродячих псов,приключения детектив мистика драма сэйнэн
Моя геройская академия,боевик фантастика приключения супергерои комедия сёнэн
Невеста чародея,романтическая драма фэнтези психология повседневность сёнэн
Моб Психо 100,комедия боевик мистика приключения
Кабанери железной крепости,стимпанк постапокалиптика драма фэнтези ужасы боевик Саундтрек
Она и её кот,повседневность драма
Нелюдь (манга),боевик научная фантастика
Милый дом Чи,комедия повседневность
Дюрарара!!,боевик приключения мистика  романтика повседневность Visual novel
"Город, в котором меня нет",фантастика мистика триллер
В этом уголке мира,исторический романтическая драма повседневность
Боец Баки,боевик боевые искусства спокон
Берсерк (манга),тёмное фэнтези драма боевик меч и колдовство
Да благословят боги этот прекрасный мир!,приключения комедия фэнтези исэкай сэйнэн сэйнэн сэйнэн сэйнэн визуальный роман пошаговая стратегия гатя
Бейблэйд,комедия спокон приключения
"
",повседневность  романтика
"
",драма триллер исторический трагедия
"Звучи, эуфониум!",музыкальный повседневность драма сэйнэн
Скуби-Ду! и проклятье демона скорости,приключения
Lego Скуби-Ду!: Призрачный Голливуд,детектив фэнтези комедия
Angry Birds в кино,комедия приключения семейный фильм боевик Музыка к фильму Поп рок кантри хипхоп электронная музыка
Халк: Где обитают чудовища,боевик фантастика
Сезон охоты: Байки из леса,комедия
Тролли (мультфильм),комедия приключения
Рэтчет и Кланк: Галактические рейнджеры,компьютерная анимация
