Название,Жанр,Продюссер,Страна,Год
"Мстительница (фильм, 1996)",комедийная драма  и  боевик,Рам Шетти,Индия,1996
Моцарт — навсегда,драма,Жан-Люк Годар,Франция  Швейцария,1996
Ко всем чертям!,драма комедия артхаус,Ариан Каганов,Нидерланды,1996
Множество (фильм),комедия,Гарольд Рамис,США,1996
Миссия невыполнима (фильм),шпионский   боевик,"Брайан Де Пальма  Личный рекорд  (1982, также продюсер)  Пьяный рассвет  (1988)  Без предела  (1998)  Спроси у пыли  (2006)",США,1996
Молль Флендерс (фильм),историческая драма,Пен Деншэм,США Ирландия,1996
Милый друг давно забытых лет…,Мелодрама,Самсон Самсонов,Россия,1996
Мой забытый мужчина,драма   фильм-биография,Фрэнк Хоусон,Австралия    США,1996
Мерцающий,боевик,Джон Грэй,США,1996
"Микрокосмос (фильм, 1996)",документальный фильм,Клод Нуридзани Мари Перенну,Франция,1996
Миг невинности,комедия драма мелодрама,Мохсен Махмальбаф,Иран  Франция,1996
Миссис Уинтерборн,"романтическая комедия ,  криминальный фильм ,  комедийная драма  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа",Ричард Бенджамин,США,1996
Мир музыки,мелодрама музыкальный фильм,Санджай Лила Бхансали,Индия,1996
"Мёбиус (фильм, 1996)",фантастика,Густаво Москера,Аргентина,1996
Марс атакует!,фантастика чёрная комедия,Тим Бёртон,США,1996
"Матильда (фильм, 1996)","комедия ,  семейный фильм",Дэнни Де Вито  Продажи Винса Д'Анжело   (1982)  Игра в рейтинг   (1984)  Сбрось маму с поезда  (1987)  Война Роузов  (1989)  Хоффа  (1992)  Матильда  (1996)  Убить Смучи  (2002)  Дюплекс  (2003)  Ворчуны   (2016),США,1996
"Мать (фильм, 1996)","драма ,  кинокомедия",Альберт Брукс,США,1996
"Мандела (фильм, 1996)",документальный фильм фильм-биография исторический фильм  Саундтрек,Энгус Гибсон Джо Менелл,ЮАР  США,1996
Маленькие личики,драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Гиллис МакКиннон",Великобритания,1996  и  1 августа   1996
Максимальный риск,криминальный фильм боевик триллер,Ринго Лам,США,1996
Мой волк (фильм),приключенческий фильм,Дени Имбер,Франция,24 декабря   2021
"Маркиз де Сад (фильм, 1996)","драма, эротика, история",Гвинет Гибби,США  /   Россия,1996
"Майкл (фильм, 1996)","романтическая комедия ,  фэнтезийный фильм  и  драматический фильм",Нора Эфрон,США,1996
Любовь преступника,боевик,Радж Канвар,Индия,1996
Майкл Джексон: Призраки,"короткометражный ,  музыкальный   фильм ужасов",Стэн Уинстон,США,1996
Майкл Коллинз (фильм),"Исторический фильм ,  драма ,  триллер",Нил Джордан,Великобритания  США  Ирландия,1996
Между ангелом и бесом,Фантастическая   криминальная   комедия,Жан-Мари Пуаре,Франция,1995  и  13 июня   1996
Лунная шкатулка,комедия  /  драма,Том Дичилло,США  Япония,1996
Любовь и секс и т. д.,драма,Дэниэл Йост,США,1996
День мертвецов: Злая кровь,ужасы,Эктор Эрнандес Висенс,США  Болгария,2018
"Любовники Розмари (фильм, 1996)","драматический фильм ,  биографический фильм  и  криминальный фильм",Бернд Айхингер,Германия,1996
"Люблю тебя, не люблю тебя",драма,Билли Хопкинс,Франция  Германия  США  Великобритания,1996
"Русалочка (фильм, 1976, СССР)",сказка,Владимир Бычков,СССР  Болгария,1976
Молодецкие времена,драматический фильм,Эдуард Захариев,Болгария  Венгрия,1977
Юлия Вревская (фильм),фильм-биография исторический военный,Никола Корабов,СССР  Болгария,1977
Солдаты свободы,"киноэпопея ,  драма ,  военный ,  исторический",Юрий Озеров,"СССР ,  Болгария ,  Венгрия ,  ГДР ,  Польша ,  Румыния ,  Чехословакия",1977
Путь к Софии,исторический фильм,Николай Мащенко,СССР  НРБ,1977
Тепло (фильм),комедия,Владимир Янчев,Болгария,1978
Альбино Аллигатор,"неонуар ,  криминальный фильм   и  драматический фильм",Кевин Спейси,Франция  США,1996
Любить по-русски 2,боевик мелодрама,Евгений Матвеев,Россия    Беларусь,1996
"Ложный огонь (фильм, 1996)",драма,Аннетт Хэйвуд-Картер,США,1996
Ловец солнца,драма,Майкл Чимино,США,1996
Лилии (фильм),драма,Джон Грейсон,Канада,1996
"Линия жизни (фильм, 1996)",драма,Павел Лунгин,Россия  Франция,1996
Луна пустыни,комедия мелодрама триллер,Кевин Даулинг,США,1996
Летняя сказка,"Лирическая  кинокомедия ,  артхаус",Эрик Ромер,Франция,1996
Летите домой,"драма ,  приключения ,  семейный",Кэррол Бэллард,США,1996
"Лидер (фильм, 1996)",драма мелодрама триллер,Джон Дайган,Великобритания,1996
"Эбигейл (фильм, 2024)",комедия ужасов,Мэттью Беттинелли  Тайлер Джиллетт,США,2024
Шазам! Ярость богов,супергероика  боевик  комедия  приключения  научное фэнтези,Дэвид Ф. Сандберг,США,2023
Летнее платье (фильм),драма,Франсуа Озон,Франция,1996
Хищные птицы: Потрясающая история Харли Квинн,супергероика  боевик  приключения  криминал  чёрная комедия,Кэти Янь,США,2020
Элементарно (мультфильм),романтика  комедия драма  компьютерная анимация,Питер Сон,США,27 мая   2023  ( Канны )  15 июня  2023 ( СНГ )  16 июня  2023 (США)
Человек-муравей и Оса: Квантомания,супергероика боевик научная фантастика,Пейтон Рид,США,2023
Черепашки-ниндзя: Погром мутантов,комедия  боевые искусства  супергероика  компьютерная анимация,Джефф Роу  Конец света 2013: Апокалипсис по-голливудски  (2013)  Интервью  (2014),США,12 июня   2023  ( Анси )  2 августа  2023 ( США )  3 августа  2023 ( СНГ )
"Проклятие (фильм, 2020)",фильм ужасов о сверхъестественном,Николас Песке,США,2020
Тор: Рагнарёк,супергероика  боевик  приключения  комедия  технофэнтези,Тайка Вайтити,США,"3 ноября   2017  ,  27 октября   2017 ,  26 октября   2017 ,  31 октября   2017  ,  2 ноября   2017  ,  27 октября   2017 ,  25 октября   2017 ,  1 ноября   2017   и  2017"
Мир юрского периода,научно-фантастический   боевик,Колин Треворроу,США,2015
"Охотники за привидениями (фильм, 2016)",Комедия Научное фэнтези,Пол Фиг,США,2016
"Призрак в доспехах (фильм, 2017)",киберпанк боевик,Руперт Сандерс,США,30 марта   2017    и  30 марта   2017
Изгой-один. Звёздные войны: Истории,эпическая   космическая опера,Гарет Эдвардс,США,2016
Годзилла: Возрождение,кайдзю фантастика ужасы драма,"Хидэаки Анно , Синдзи Хигути",Япония,2016  Годзилла  Годзилла (MonsterVerse)  Ангирус  Барагон  Баттра  Биолланте  Варан  Габара  Гайган  Горозавр  Зилла   Гэзора  Камоэбас  Камакурас  Кинг-Конг  Кинг Сизар  Кумонга  Магума  Малыш Годзилла  Манда  Мехагодзилла  Мегалон  Мегагирус  Меганулы  Минилла  Могера  Мотра  Титанозавр  Орга  Родан  Космо-Годзилла  Монстр X  Разрушитель  Шокилас  Годзиллазавр  Меха-Гидора  Джет Ягуар  Оодако  Оокондору  Ганимес  Хэдора  Чудовище Франкенштейна  ( Гайра  Санда )  ГННУС
Люди Икс: Апокалипсис,супергероика боевик научная фантастика,Брайан Сингер,США,2016
Глубоководный горизонт,фильм-катастрофа боевик триллер драма,Питер Берг,США  Гонконг,2016
Первый мститель: Противостояние,супергероика  боевик  научная фантастика  приключения,Энтони Руссо  Джо Руссо,США,2016
Пираты Карибского моря: Мертвецы не рассказывают сказки,фэнтезийный   фильм плаща и шпаги,Эспен Сандберг  Йоахим Рённинг,США   Великобритания   Австралия   Канада,2017
Лего Фильм: Ниндзяго,"боевик , комедия , приключения , семейный фильм  компьютерная",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Чарли Бин   ПолФишер  Боб Логан",США   Дания,"21 сентября   2017   ,  29 сентября   2017  и  22 сентября   2017"
Лего Фильм: Бэтмен,"боевик , приключения , фантастика , комедия , мультфильм",Крис Маккей,США  Дания  Австралия,"10 февраля   2017  ,  9 февраля   2017   и  9 февраля   2017"
Геошторм,научно-фантастический   фильм-катастрофа,Дин Девлин,США,2017
Война волков 2,боевик,Джеки Ву,Китай,2017
Tomb Raider: Лара Крофт,приключенческий боевик,Роар Утхауг,Великобритания   США,2018
Фантастические твари: Преступления Грин-де-Вальда,фэнтези приключения семейный детектив,Дэвид Йейтс,Великобритания  США,2018
Ральф против интернета,комедия  компьютерная,Рич Мур Фил Джонстон  Полнометражные фильмы  История игрушек  (1995)  Приключения Флика  (1998)  История игрушек 2  (1999)  Тачки  (2006)  Тачки 2  (2011)  Короткометражные фильмы  Люксо-младший  (1986)  Звезда цирка  (1987)  Оловянная игрушка  (1988)  Безделушка  (1989)  Мэтр и Призрачный Свет  (2006)  Байки Мэтра  (2008),США,2018
Суперсемейка 2,приключения боевик комедия семейный  компьютерная,Брэд Бёрд Полнометражные фильмы  История игрушек  (1995)  Приключения Флика  (1998)  История игрушек 2  (1999)  Тачки  (2006)  Тачки 2  (2011)  Короткометражные фильмы  Люксо-младший  (1986)  Звезда цирка  (1987)  Оловянная игрушка  (1988)  Безделушка  (1989)  Мэтр и Призрачный Свет  (2006)  Байки Мэтра  (2008),США,14 июня   2018   13 июня   2018
Человек-паук: Через вселенные,боевик комедия фантастика драма супергероика  Компьютерная анимация,Питер Рэмси  Родни Ротман  Боб Персичетти,США,2018
Не прикасайся,драма,Адина Пинтилие,Румыния  Германия  Чехия   Болгария  Франция,2018
Веном (фильм),супергероика  боевик  научная фантастика  триллер,Рубен Флейшер,США,2018
Мстители: Война бесконечности,супергероика  боевик  приключения  технофэнтези,Энтони Руссо Джо Руссо,США,2018
Бамблби (фильм),научно-фантастический   боевик,Трэвис Найт,США   Китай,2018
Промар,"приключения ,  меха",Хироюки Имаиси,,
Аквамен (фильм),супергероика боевик приключения фантастика,Джеймс Ван,США,2018
Шазам!,супергероика боевик фэнтези комедия,Дэвид Ф. Сандберг,США,2019
Оно 2,фильм ужасов о сверхъестественном,Энди Мускетти,США,2019
Первому игроку приготовиться (фильм),фантастика приключения,Стивен Спилберг,США,2018
Дитя погоды,"романтическая драма ,  фэнтези",Макото Синкай,,18 июля   2019 года    25 июля   2019 года   —  25 августа   2020 года
Годзилла 2: Король монстров,фантастика боевик приключения фильм о монстрах,Майкл Догерти,США   Япония   Китай,2019  Годзилла  Годзилла (MonsterVerse)  Ангирус  Барагон  Баттра  Биолланте  Варан  Габара  Гайган  Горозавр  Зилла   Гэзора  Камоэбас  Камакурас  Кинг-Конг  Кинг Сизар  Кумонга  Магума  Малыш Годзилла  Манда  Мехагодзилла  Мегалон  Мегагирус  Меганулы  Минилла  Могера  Мотра  Титанозавр  Орга  Родан  Космо-Годзилла  Монстр X  Разрушитель  Шокилас  Годзиллазавр  Меха-Гидора  Джет Ягуар  Оодако  Оокондору  Ганимес  Хэдора  Чудовище Франкенштейна  ( Гайра  Санда )  ГННУС   Мотра  Годзилла  Ангирус  Барагон  Баттра  Варан  Гайган  Горозавр  Камоэбас  Камакурас  Кинг Гидора  Кинг Сизар  Кумонга  Манда  Мехагодзилла  Дез-Гидора  Дагара  Минилла  Могера  Родан  СпэйсГодзилла  Зилла  Хэдора
Мстители: Финал,супергероика боевик технофэнтези приключения драма,Энтони Руссо Джо Руссо,США,2019
Звёздные войны: Скайуокер. Восход,эпическая   космическая опера,Дж. Дж. Абрамс  Миссия невыполнима 3  (2006)  Звёздный путь  (2009)  Супер 8  (2011)  Стартрек: Возмездие  (2013)  Звёздные войны: Пробуждение силы  (2015)  Звёздные войны: Скайуокер. Восход  (2019),США,2019
Гемини (фильм),остросюжетный боевик,Энг Ли,США,2019
Луиз: истинная история рок-н-ролла,пародия,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Оливье Леган",Франция,1996
Вперёд (мультфильм),городское фэнтези приключения комедия  компьютерная,Дэн Скэнлон,США,21 февраля 2020 ( Берлинале ) 5 марта 2020 ( ) 6 марта 2020 ( )
"Аладдин (фильм, 2019)","комедия ,  мюзикл ,  фэнтези ,  приключения ,  мелодрама",Гай Ричи,США,2019
Тролли. Группа в сборе,"комедия ,  приключения",Уолт Дорн,США,"18 октября   2023  ,  19 октября   2023  ,  26 октября   2023  ,  27 октября   2023   и  17 ноября   2023"
Три мушкетёра: Д’Артаньян,боевик история приключения,Мартен Бурбулон,Франция   Германия   Испания   Бельгия,2023
Создатель (фильм),,Гарет Эдвардс,США,2023
Стражи Галактики. Часть 3,супергероика  боевик  приключения  космическая опера  комедийная драма,Джеймс Ганн,США,2023
Алита: Боевой ангел,"антиутопия ,  боевик ,  киберпанк  симфоническая музыка ,  электронная музыка",Роберт Родригес Полнометражные  Пиранья 2: Нерест   (1981)  Чужие   (1986)  Бездна   (1989)  Правдивая ложь   (1994)  Титаник   (1997)  Терминатор  Терминатор   (1984)  Терминатор 2: Судный день   (1991)   Аватар   Аватар   (2009)  Аватар: Путь воды   (2022)  Аватар: Огонь и пепел   (2025)  Аватар 4   (2029)  Аватар 5   (2031)   Короткометражные  Ксеногенезис   (1978)  Т2 3-D: Битва сквозь время   (1996)  Документальные  Экспедиция «Бисмарк»    (2002)  Призраки бездны: «Титаник»   (2003)  Чужие из бездны    (2005),США,2019
"Русалочка (фильм, 2023)",мюзикл романтическое фэнтези,Роб Маршалл,США,2023
Мег 2: Бездна,научно-фантастический   боевик,Бен Уитли,США  Китай,2023
Пила 10,фильм ужасов,Кевин Гротерт,США,2023
"Особняк с привидениями (фильм, 2023)",комедийный фильм ужасов   о сверхъестественном,Джастин Симиен,США,2023
"Луна (фильм, 2023)",научно-фантастический фильм,Ким Ён Хва,Республика Корея,2023
Капитан Марвел 2,супергероика боевик научная фантастика,Ниа Дакоста,США,2023
Покемон. Детектив Пикачу,фантастика фэнтези комедия    семейный боевик,Роб Леттерман,США  Япония,2019
"Наполеон (фильм, 2023)",эпическая   историческая драма,Ридли Скотт,США   Великобритания,2023
Гран Туризмо (фильм),спортивная   драма,Нил Бломкамп,США   Великобритания   Япония,2023
Изгоняющий дьявола: Верующий,мистика  фильм ужасов,Дэвид Гордон Грин,США,2023
Заветное желание,мюзикл фэнтези  компьютерная,Крис Бак Фон Вирасунторн  Холодное сердце  (2013)  Холодное торжество  (2015)  Холодное сердце 2  (2019),США,8 ноября   2023  ( Эль-Капитан ) 22 ноября  2023 ( )
Голодные игры: Баллада о змеях и певчих птицах,боевик - антиутопия,Фрэнсис Лоуренс,США,2023
Вонка (фильм),мюзикл фэнтезийная комедия,Пол Кинг,США  Великобритания  Канада,2023
Годзилла: Минус один,"кайдзю ,  фантастика ,  боевик ,  драма",Такаcи Ямадзаки,Япония,2023  Годзилла  Годзилла (MonsterVerse)  Ангирус  Барагон  Баттра  Биолланте  Варан  Габара  Гайган  Горозавр  Зилла   Гэзора  Камоэбас  Камакурас  Кинг-Конг  Кинг Сизар  Кумонга  Магума  Малыш Годзилла  Манда  Мехагодзилла  Мегалон  Мегагирус  Меганулы  Минилла  Могера  Мотра  Титанозавр  Орга  Родан  Космо-Годзилла  Монстр X  Разрушитель  Шокилас  Годзиллазавр  Меха-Гидора  Джет Ягуар  Оодако  Оокондору  Ганимес  Хэдора  Чудовище Франкенштейна  ( Гайра  Санда )  ГННУС
Смерч 2,фильм-катастрофа,Ли Айзек Чун,США,2024
Проклятые воды,фильм ужасов о сверхъестественном,Брайс Макгуайр,США,2024
Выжившие. Бетонная утопия,фильм-катастрофа  и  фильм-триллер,Ом Тхэхва,Республика Корея,9 августа   2023
Блуждающая Земля 2,фильм-катастрофа фантастика триллер,Франт Гво,Китай,2023
Охотники за привидениями: Леденящий ужас,комедия научное фэнтези,Гил Кинан,США,2024
"Пчеловод (фильм, 2024)",боевик     триллер,Дэвид Эйер  Крутые времена  (2005)  Короли улиц  (2008)  Патруль  (2012)  Саботаж  (2014)  Ярость  (2014)  Отряд самоубийц  (2016)  Яркость  (2017)  Выбивая долги  (2020)  Пчеловод  (2024)  Мастер  (2025)  Сердце зверя  ( .mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}} TBA ),США,2024
Аквамен и потерянное царство,супергероика боевик фантастика приключения,Джеймс Ван,США,22 декабря   2023
Приключения Паддингтона 3,приключения комедия,Дугал Уилсон,Великобритания  Франция  Япония  США,2024
Планета обезьян: Новое царство,фантастика  боевик  приключения  драма,Уэс Болл,США,2024
Аргайл: Супершпион,комедийный боевик  Музыка к фильму,Мэттью Вон,Великобритания  США,2024
"Ворон (фильм, 2024)",супергероика неонуар триллер городское фэнтези,Руперт Сандерс,США,2024
Кунг-фу панда 4,комедийный фильм о боевых искусствах  компьютерная,Майк Митчелл,США,8 марта   2024
Годзилла и Конг: Новая империя,фильм о монстрах,Адам Вингард,США,2024  Годзилла  Годзилла (MonsterVerse)  Ангирус  Барагон  Баттра  Биолланте  Варан  Габара  Гайган  Горозавр  Зилла   Гэзора  Камоэбас  Камакурас  Кинг-Конг  Кинг Сизар  Кумонга  Магума  Малыш Годзилла  Манда  Мехагодзилла  Мегалон  Мегагирус  Меганулы  Минилла  Могера  Мотра  Титанозавр  Орга  Родан  Космо-Годзилла  Монстр X  Разрушитель  Шокилас  Годзиллазавр  Меха-Гидора  Джет Ягуар  Оодако  Оокондору  Ганимес  Хэдора  Чудовище Франкенштейна  ( Гайра  Санда )  ГННУС
Бордерлендс,научно-фантастический   комедийный боевик,Элай Рот  Лихорадка  (2002)  Хостел  (2005)  Хостел 2  (2007)  Зелёный ад  (2013)  Кто там  (2015)  Жажда смерти  (2018)  Тайна дома с часами  (2018)  День благодарения  (2023)  Бордерлендс  (2024),США,2024
Мадам Паутина (фильм),супергероика триллер боевик научная фантастика,Эс Джей Кларксон,США,2024
Дюна: Часть вторая,эпический фильм научная фантастика,Дени Вильнёв,США,2024
Лесной царь (фильм),"драматический фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа",Фолькер Шлёндорф,Германия    Франция    Великобритания,1996
Дэдпул и Росомаха,боевик   научная фантастика   комедия   супергерои,Шон Леви,США,2024
Кровь и вино,триллер криминальный фильм     драма,Боб Рейфелсон,США      Великобритания,1996
Лейла (фильм),драматический фильм,Дариюш Мехрджуи,Иран,1996
Красота (фильм),мелодрама комедия драма  Поп,Хетти Макдональд,Великобритания,1996
Кукольный дом Амитивилля,ужасы  /  триллер,Стив Уайт,США,1996
Кровавый спорт 2,боевик,Элен Мерец,США,1996
Лесной воин,приключения семейный комедия,Аарон Норрис,США,1996
"Крик (фильм, 1996)",слэшер,"Уэс Крэйвен  Последний дом слева  (1972)    У холмов есть глаза  (1977)  Незнакомец в нашем доме  (1978)  Смертельное благословение  (1981)  Болотная тварь  (1982)  Кошмар на улице Вязов  (1984)  Приглашение в ад  (1984)  Леденящий  (1985)  У холмов есть глаза 2  (1985)  Смертельный друг  (1986)  Змей и радуга  (1988)  Электрошок  (1989)  Ночные видения  (1990)  Люди под лестницей  (1991)  Кошмар на улице Вязов 7: Новый кошмар  (1994)  Вампир в Бруклине  (1995)    Крик  (1996)    Крик 2  (1997)  Музыка сердца  (1999)    Крик 3  (2000)  Оборотни  (2005)  Ночной рейс  (2005)  Париж, я люблю тебя  (2006)  Забери мою душу  (2010)    Крик 4  (2011)   Убить миссис Тингл  (1999)  Крик 7  (2026)",США,1996
Котёнок (фильм),"драма ,  семейный фильм",Иван Попов,Россия,1996
Красивые деревни красиво горят,драма боевик военный комедия,Срджан Драгоевич,СР Югославия,1996
Космический джем,спортивная комедия,Джо Питка,США,1996
Король приключений,боевик приключенческий фильм комедия,Тони Чхин,Гонконг,1996
Красивые девушки,трагикомедия драма  Саундтрек,Тед Демме,США,1996
Коля (фильм),драма,Ян Сверак,Чехия,1996
"Кольцо (фильм, 1996)",драма,Арманд Мастроянни,США,1996
"Крайние меры (фильм, 1996)","триллер ,  драма ,  детектив",Майкл Эптид  Майкл Клейтон  (2007)  Ничего личного  (2009)  Эволюция Борна  (2012),США  Великобритания  Канада,1996
Любовное настроение,мелодрама драма,Вонг Карвай,Гонконг  Китай,2000
Лучший подарок на Рождество,детский,Грег Биман,США,1 декабря   2000
Комната Марвина,драма,Джерри Закс,США,1996
"Могучий Джо Янг (фильм, 1998)",приключения,Рон Андервуд,США,1998
Компаньон (фильм),Комедия,Дональд Петри,США,1996
Космические дальнобойщики,приключенческий фильм комедия фантастика триллер,Стюарт Гордон,Великобритания  США  Ирландия,1996
"Крокодил (фильм, 1996)",драма,Ким Ки Дук,Республика Корея,1996
Луной был полон сад,драма,Виталий Мельников,Россия,2000
Квартирка Джо,комедия,Джон Пейсон,США,1996
"Лучший друг (фильм, 2000)",комедия мелодрама,Джон Шлезингер,США,2000
"Квартира (фильм, 1996)",мелодрама,Жиль Мимуни,Франция  Испания  Италия,1996
Колдовство 8: Призрак Салема,ужасы,Джозеф Джон Барметтлер,США,1996
Капитан Конан,военный фильм,Бертран Тавернье,Франция,1996
Каннибал! Мюзикл,комедия мюзикл фильм ужасов,Трей Паркер,США,1996
Кама Сутра: История любви,драма,Мира Наир,Индия,1996
Как я обсуждал... (мою сексуальную жизнь),"комедийная драма, романтический фильм",Арно Деплешен,Франция,1996
"Кавказский пленник (фильм, 1996)","драма ,  военный фильм","Сергей Бодров  Сёстры  (2001)  Связной  (2002, не завершён)",Россия   Казахстан,1996
Кабельщик,чёрная комедия триллер,Бен Стиллер  Реальность кусается  (1994)  Кабельщик  (1996)  Образцовый самец  (2001)  Солдаты неудачи  (2008)  Невероятная жизнь Уолтера Митти  (2013)  Образцовый самец 2  (2016),США,1996
Карьера Артуро Уи. Новая версия,драма,Борис Бланк,Россия,1996
Канзас-Сити (фильм),"Триллер, драма, криминал",Роберт Олтмен,США  Франция,1996
Их поменяли телами,романтическая комедия,Меган Симпсон Хуберман,Австралия,1996
Итальянские любовники,комедия   мелодрама,Джозеф Болонья   Рене Тейлор,США,1996
"Камера (фильм, 1996)",драматический фильм,Джеймс Фоули,США,1996
Индийский наследник английской семьи,романтический фильм,Правин Нисчол,Индия,1996
Иногда они возвращаются… снова,фильм ужасов,Адам Гроссман,США,1996
Индиец (фильм),боевик  /  драма,Ш. Шанкар,Индия,1996
Импотент (фильм),кинокомедия,Анатолий Эйрамджан,Россия,1996
Извращённая страсть,триллер,Крэйг Баксли,США,1996
Зловещая луна,фильм ужасов,Эрик Рэд,США,1996
Как удержаться на плаву,триллер      комедия,Джим Уилсон,США,1996
"Земля (фильм, 1996)",драма,Хулио Медем,Испания,1996
Звёздный путь: Первый контакт,научная фантастика,Джонатан Фрэйкс,США,1996
Запёкшаяся кровь,триллер комедия,Рэб Брэддок,США,1996
"Звезда шерифа (фильм, 1996)",вестерн романтическая драма детектив,Джон Сэйлз,США,1996
"Замена (фильм, 1996)","боевик ,  драма ,  триллер",Роберта Мэндела,США,1996
Записки у изголовья (фильм),драма мелодрама эротика,Питер Гринуэй,Франция  Великобритания  Нидерланды  Люксембург,1996
Мертвец в колледже,комедия,Алан Кон,США,1998
