Название,Жанр,Продюссер,Страна,Год
Авангард: Арктические волки,"боевик , криминал, комедия",Стэнли Тонг,Китай,2020
Поколение романтиков,драматический фильм,Цзя Чжанке,Китай,2024
Шакра (фильм),боевик приключенческий фильм,Донни Йен Хам Кавай    (сорежиссёр),Гонконг  Китай,2023
Пончары. Глобальное закругление,анимация семейный приключение,Дэвид Силверман Рэймонд С. Перси,Канада  США  Китай,2021
Мой Хатико,драма,Сюй Ан,Китай,2023
Кунг-фу жеребец,"боевик, драма, комедия",Ларри Ян,Китай,2023
Полноводная красная река,исторический фильм   и  драматический фильм,Чжан Имоу,Китай,2023
"Скрытый клинок (фильм, 2023)",шпионский триллер,Чэн Эр,Китай,2023
"Король неба (фильм, 2023)",военный фильм,Лю Сяоши,Китай,2023
Блуждающая Земля 2,фильм-катастрофа фантастика триллер,Франт Гво,Китай,2023
"Перекрёстный огонь (фильм, 2021)",боевик,Бенни Чан,Гонконг,2021
"Память (фильм, 2021)",драма,Апичатпонг Вирасетакул,Таиланд   Колумбия   Франция   Германия   Мексика   Китай,2021
"Король Убю (фильм, 2003)",драма   комедия   гротеск,Пётр Шулькин,Польша,2003
Король муравьёв,Триллер,Стюарт Гордон,США,2003
Башня без тени,драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Чжан Люй",Китай,2023
Королевская битва 2,"антиутопия ,  боевик",Киндзи Фукасаку     Кэнта Фукасаку,Япония,2003
Коричневый кролик,драма,Винсент Галло,США    Япония    Франция,2003
"Контроль (фильм, 2003)",драма триллер комедия артхаус,Нимрод Антал,Венгрия,2003
Арт-колледж 1994,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Liu Jian",Китай,2023
Команданте (фильм),документальный   фильм-интервью,Оливер Стоун  Полнометражные  Захват  (1974)  Рука  (1981)  Сальвадор  (1986)  Взвод  (1986)  Уолл-стрит  (1987)  Радиоболтовня  (1988)  Рождённый четвёртого июля  (1989)  Дорз  (1991)  Джон Ф. Кеннеди. Выстрелы в Далласе  (1991)  Небо и Земля  (1993)  Прирождённые убийцы  (1994)  Никсон  (1995)  Поворот  (1997)  Каждое воскресенье  (1999)  Александр  (2004)  Башни-близнецы  (2006)  Буш  (2008)  Уолл-стрит: Деньги не спят  (2010)  Особо опасны  (2012)  Сноуден  (2016)  Короткометражные  Последний год во Вьетнаме  (1971)  Безумный человек Мартиники  (1978)  Документальные  Персона нон грата  (ТВ 2003)  Команданте  (2003)  В поисках Фиделя  (2004)  К югу от границы  (2009)  Нерассказанная история США  (2012)  Интервью с Путиным  (2017)  В борьбе за Украину  (2019)  Казах. История золотого человека  (2021),США  —  Испания,2003
"Комната (фильм, 2003)",драма,Томми Вайсо,США,2003
Коктебель (фильм),семейный фильм драма,"Алексей Попогребский ,  Борис Хлебников",Россия,2003
Кое-что ещё,комедия   мелодрама,Вуди Аллен,США  Франция  Великобритания,2003
Код 46,фантастика триллер драма мелодрама,Майкл Уинтерботтом,Великобритания,2003
Ковёр из ветра,драма семейный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Камаль Табризи",Иран  Япония,2003
Ключ от спальни,комедия,Эльдар Рязанов,Россия,2003
"Корпорация (фильм, 2003)",документальный,Марк Акбар Дженнифер Эббот,Канада,2003
Клубная мания,"комедия ,  драма",Фентон Бэйли   Рэнди Барбато,США   Нидерланды,2003
"Клетка (фильм, 2003)",Документальное кино,Сильвестр Латковский,Польша,2003
Клеопатра (порнофильм),порнофильм  Порнофильм,Антонио Адамо  Антонио Адамо,Швеция   Швеция,2003  2003
"Клад (фильм, 2003)",приключения семейный драма комедия,Эндрю Дэвис,США,2003
Каролина (фильм),комедия мелодрама,Марлен Горрис,США  Германия,2003
Кенгуру Джекпот,"комедия ,  приключения",Дэвид МакНалли,"США ,     Австралия",2003
Клубничка в супермаркете,комедия,Душан Милич,Сербия и Черногория  Германия  Италия,2003
Касаясь пустоты,документальный драма приключенческий,Кевин Макдональд,Великобритания,2003
Колесо времени (фильм),документальный,Вернер Херцог,Германия  Австрия  Италия,2003
Киднеппинг (фильм),драма  /  криминальный фильм,Ольга Перуновская,Россия  Беларусь,2003
"Тупик (фильм, 2015)","драма ,  криминал",Цао Баопин,Китай,2015
Тотем волка (фильм),приключения,Жан-Жак Анно,Китай  Франция,2015
Плохие парни всегда умирают,"чёрная комедия ,  детектив ,  триллер",Хао Сунь,Республика Корея    Китай,2015
"Три сестры (фильм, 2012)",документальная   драма,Ван Бин,"Франция ,   Китай",2014
Принцесса-лягушка,комедия приключения  компьютерная,Нельсон Шин,Китай,2013
Шаолинь (фильм),"боевик ,  драма",Бенни Чан,Гонконг     Китай,2011
Цветы войны,драма исторический военный,Чжан Имоу,Китай,2012
"Убийца (фильм, 2015, Тайвань)",боевик драма,Хоу Сяосянь,Китайская Республика   Китай   Гонконг,2015
Чародей и белая змея,"уся ,  фэнтези ,  драма",Чэн Сяодун,Китай  Гонконг,2011
Чайный пьяница,комедия   криминал   фантастика,"Баста ,  Ден Крючков",Россия      Китай,2008
Хроники Хуаду: Лезвие розы,фэнтези     боевик     комедия     приключения,Патрик Лун     Кори Юэнь,Гонконг,2004
Пропавшее оружие,криминальный фильм драма,Лу Чуань,Китай,2002
Троецарствие (телесериал),Исторический,Гао Сиси,Китай,
Неуязвимая мишень,"боевик ,  триллер ,  криминал",Бенни Чан,Гонконг  Китай,2007
Шанхай (фильм),"детектив ,  драма ,   триллер ,  нуар",Микаэль Хофстрём,США    Китай,2010
Убойный футбол,комедия боевик     спортивный фильм,Стивен Чоу,Гонконг  Китай,2002
Душ (фильм),драма кинокомедия,Ян Чжан,Китай,1999
"Чингисхан (фильм, 1998)",исторический,Май Лисы Сайфу,Китай,1998
"Фабрика грёз (фильм, 1997)",Кинокомедия,Фэн Сяоган,Китай,1997
SPL: Sha Po Lang,боевик,Уилсон Ип,Гонконг  Китай,2005
Сю Сю: Сосланная,драма,Джоан Чэнь,Китай,1998
Невидимые крылья,биография драма,Фэн Чжэньчжи,Китай,2007
Полководцы,исторический фильм боевик драма военный фильм,Питер Чан Йип Вэй Мэн,Гонконг    Китай,2007
