film_title,genre,director,country,year
Искусство греха,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda ЛГБТфильм вд и документальный фильм,Ибрагим Мурсал вд,Норвегия Судан,2020
Итальянский крестьянский танец,документальный фильм,Макс Складановский,Германия,1895
Бокс с кенгуру,документальный фильм,Макс Складановский,Германия,1895
Серпантин (фильм),короткометражка,Макс Складановский,Германия,1895
Бокс (фильм),документальный фильм,Макс Складановский Эмиль Складановский,Германия,1895
"Зимний сад (фильм, 1895)",короткометражка,Макс Складановский Эмиль Складановский,Германия,1895
Апофеоз (фильм),короткометражка,Макс Складановский,Германская империя,1895
Акробатическая смесь,хроника короткометражка,Макс Складановский,Германская империя,1895
"Скрипка (фильм, 2017)",Драма Исторический,Константин Фам,Россия США Беларусь Чехия Израиль,2017
Ловля золотых рыбок,Документальный,Луи Люмьер,Франция,1895
Жёлтый песочек (фильм),историческая драма,Алексей Турович,Белоруссия,2017
Политый поливальщик,комедия,Луи Люмьер,Франция,1895
Кузнецы (фильм),документальный,Луи Люмьер,Франция,1895
"Морское купание (фильм, 1895)",документальное кино,Луи Люмьер,Франция,1895
Механический мясник,Комедия фантастика,Луи Люмьер,Франция,1895
Выход рабочих с фабрики,Документальный,Луи Люмьер,Франция,1895
Площадь Корделье в Лионе,Документальный,Луи Люмьер,Франция,1895
"
",научная фантастика мистика приключения,Нобутака Нисидзава Акэхи Масаюки,,
"
",приключения фантастика меха космическая опера,Тэцуо Имадзава Тэцуо Имадзава Масакацу Иидзима,,
"
",комедия  романтика повседневность,Сигэцугу Ёсида Сигэцугу Ёсида,,
"
",приключения драма,Хироси Сайто,,
"
",махосёдзё фэнтези,Кунихико Юяма Мотидзуки Томомити Хироси Ватанабэ Кунихико Юяма Ёситака Фудзимото Кунихико Юяма,,
Завтрак младенца,Документальный,Луи Люмьер,Франция,1895
"
",приключения комедия визуальный роман,Сасагава Хироси Сасагава Хироси Сасагава Хироси Рёдзи Фудзивара Тецуо Ясуми,,
"
",пародия фэнтези,Такао Ёцудзи,,
"
",боевик меха научная фантастика,Кодзо Морисита,,
"
",меха боевик драма научная фантастика,Ёсиюки Томино Фудзивара Рёдзи Ёсиюки Томино Ёсиюки Томино Ёсикадзу Ясухико,,
"
",комедия приключения фэнтези кодомо,Масааки Осуми Хироси Фукутоми Хироси Фукутоми Хироси Фукутоми,,
"
",приключения кодомо научная фантастика меха,Хироси Сасагава,,
"
",фэнтези комедия ужасы,Масамунэ Отиай  Осаму Тэдзука,,
"
",комедия повседневность,Ясуми Ёсидзава Ясуми Ёсидзава Цутому Сибаяма,,
"
",приключения комедия научная фантастика,Тамэо Коханава,,
"
",приключения научная фантастика комедия кодомо,Кадзуюки Окасако,,
Вольтижировка (фильм),Документальный,Луи Люмьер,Франция,1895
"
",приключения научная фантастика меха антиутопия,Ёсиюки Томино Ёсиюки Томино,,
"
",приключения научная фантастика меха,Такао Ёцудзи,,
Arcadia of My Youth: Endless Orbit SSX,фантастика космическая опера драма,Томохару Кацумата,,
Arcadia of My Youth,космическая опера драма исторический,Томохару Кацумата,,
"
",научная фантастика приключения меха,Масакадзу Ясумура,,
Весёлый скелет,анимация ужасы,Луи Люмьер,Франция,1898
"Эстебан, сын солнца",фэнтези приключения,Эдуард Дэвид Бернар Дейрьес Хисаюки Ториуми,,
Код Каина,боевик триллер,Виталий Васильков Уильям Девиталь,Белоруссия Россия США,2015
Летающий дом,исторический приключения научная фантастика кодомо,Масакадзу Хигути Минэо Фудзи,,
"
",научная фантастика космическая опера меха драма,Ёсиюки Томино Ёсиюки Томино Ёсиюки Томино,,
PARTY-ZAN фильм,комедия,Андрей Курейчик,Беларусь,2016
Танкист (фильм),военный мелодрама,Александр Ефремов,Россия Беларусь,2016
"Брут (фильм, 2016)",Драма Исторический,Константин Фам,Россия Украина Беларусь Румыния США Израиль,2016
Следы на воде,исторический фильм,Александр Анисимов,Белоруссия,2016
Гиперпространственная крепость Макросс,космическая опера меха,Нобору Исигуро,,
ГараШ,Трагикомедия,Андрей Курейчик,Беларусь,2015
Притчи (цикл фильмов),притча лирическая трагикомедия,Виталий Любецкий   монахиня Иоанна Орлова ,Беларусь,20102018
Война. Остаться человеком,киноальманах,Игорь Васильев Дмитрий Семёнов Екатерина Тарасова Дмитрий Федорович,Белоруссия Беларусь Беларусь Беларусь Беларусь,2018
Атака мертвецов: Осовец,военный,Василий Чигинский,Россия Беларусь,2018
Упыри (фильм),фильм ужасов,Максим Сирый Андрей Гринько,Беларусь,2019
Спайс бойз (фильм),триллер драма,Владимир Зинкевич,Беларусь,2019
Моя бабушка с Марса,документальный фильм,,Беларусь Украина Эстония,27 октября 2018
Солдатик (фильм),военный драма,Виктория Фанасютина,Россия Беларусь,2019
Судьба диверсанта,военный фильм,Дмитрий Астрахан,Россия Беларусь,2020
Оливье (фильм),трагикомедия,Андрей Никифоров Игорь Четвериков,Беларусь Россия,2022
Купала (фильм),драма биография,Владимир Янковский,Беларусь,2020
Зубрила,комедийная драма,Марк Веремейчик,Беларусь,2022
"На крючке (фильм, 2008)",боевик триллер фантастика драма,ДиДжей Карузо,США,2008
Мадагаскар 2,комедия попрок реггетон рэп,Эрик Дарнелл англ Том МакГрат,США,
Мухнём на Луну,фантастика семейный фильм,Бен Стассен,Бельгия США,
Уроки фарси,военный драма,Вадим Перельман,Германия Россия Беларусь,2020
Спиди-гонщик (фильм),боевик семейный спортивный фильм приключения,Братья Вачовски,США Австралия Германия Япония,2008
Feeding Sea Lions,немое кино,,США,1900
Clowns Spinning Hats,немое кино и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Фильм о цирке вд,неизвестно,США,1900
Кунг-фу панда,комедийный фильм о боевых искусствах Саундтрек,Джон Стивенсон Марк Осборн,США США,
