film_title,year
"Жизнь Иисуса (фильм, 1997)",1997
Добро пожаловать в Вуп-Вуп,1997
Джордж из джунглей (фильм),1997
Джеки Браун,1997
Дети понедельника,1997
"Дорога в рай (фильм, 1997)",1997
"Джой (фильм, 1997)",1997
Дети небес,1997
"Джонни Мисто, мальчик-волшебник",1997
Деньги решают всё,1997
День отца (фильм),1997
"Катафалк (фильм, 1980)",1980
Клан Белого лотоса,1980
Дикая Америка,1997
Детектор лжи (фильм),1997
Карл Маркс. Молодые годы,1980
Карьера Никодема Дызмы (телесериал),
Каникулы Кроша (фильм),1980
"Кармилла (фильм, 1980)",1980
Калигула (фильм),1979 и 25 апреля 1980 1
Какие наши годы! (фильм),1980
Как только сможешь,1980
Кагемуся: Тень воина,1980
История Джейн Мэнсфилд,1980
"Инферно (фильм, 1980)",1980
Кабобланко,1980
Казначейша,1980
Из жизни марионеток,1980
К кому залетел певчий кенар,1980
Игра в четыре руки,1980
Из жизни отдыхающих,1980
Как гром среди ясного неба,1980
Инспектор-разиня,1980
Зов далёких гор,1980
История одного подзатыльника,1980
"Двойник (фильм, 1997)",1997
Городские торпеды,1997
Городская полиция,1997
Испанский вариант (фильм),1980
"Горбун из Нотр-Дама (фильм, 1997)",1997
Гуммо,1997
Золотая пропасть,1980
"Идеальный муж (фильм, 1980)",1980
Дакан,1997
Гемоглобин (фильм),1997
Гаттака,1997
"Герой (фильм, 1997)",1997
Генри Фул,1997
"Гангстер (фильм, 1997)",1997
Вход и выход,1997
Генозавр,1997
"Вулкан (фильм, 1997)",1997
"Всё к лучшему (фильм, 1997)",1997
Год лошади (фильм),1997
Время танцора,1997
Выдуманная жизнь Эбботов,1997
Всё обо мне,1997
Всё дело в воде,1997
Горничная с «Титаника»,1997
Воришки (фильм),1997
"Вор (фильм, 1997)",1997
"Воскресенье (фильм, 1997)",1997
Знак доблести,октябрь 1980
Зеркало великого мага,1980
Звёздные войны. Эпизод V: Империя наносит ответный удар,1980
Волшебный портрет,1997
"Всё то, о чём мы так долго мечтали",1997
"Заражение (фильм, 1980)",1980
Война окончена. Забудьте…,1997
Восковая маска,1997
Звёздный инспектор,1980
"Затемнение (фильм, 1980)",1980
За спичками (фильм),1980
"Жизнь прекрасна (фильм, 1980)",1980
"Жертва (фильм, 1980)",1980
Желаю успеха,1980
Зверь из космоса,1980
Загадочное дело,1980
Дым отечества,1980
Жду и надеюсь,1980
Дорожное происшествие,1980
Записки молодого варшавянина,1980
Дульсинея Тобосская (фильм),1980
Дочь шахтёра,1980
Железный Флаг,1980
Дом на Лесной,1980
Другие ипостаси,1980
"Жиголо и Жиголетта (фильм, 1980)",1980
Его бедовая любовь,1980
Вкус вишни,1997
Вино из одуванчиков (фильм),1997
"В тупике (фильм, 1997)",1997
Дом на краю парка,1980
В присутствии клоуна,1997
В сумерках,1997
Джейн Остин на Манхэттене,1980
Возвращение Жар-птицы,1997
Долгая Страстная пятница (фильм),1980
"В компании мужчин (фильм, 1997)",1997
В той стране,1997
Бэтмен и Робин (фильм),1997
В зимней спячке (фильм),1997
Брат нашего Бога,1997
"Джек-потрошитель (фильм, 1976)",1 октября 1976 1 3 марта 1978 1 31 января 1979 1 12 октября 1979 1 и 25 января 1980 1
"Брат (фильм, 1997)",1997
"Быстро, дёшево и неуправляемо",1997
Ботанический сад (фильм),1997
"Боксёр (фильм, 1997)",31 декабря 1997 года
В погоне за Эми,1997
В открытом море,1997
"Блаженство (фильм, 1997)",1997
"Бродяги (фильм, 1997)",1997
Беспечные близнецы,1997
Билет (фильм),1997
Благодетель (фильм),1997
Большая Америка,1997
"Бессонница (фильм, 1997)",1997
Белоснежка: Страшная сказка,1997
Дешёвый детектив,9 июня 1978 1 27 июля 1978 1 26 августа 1978 1 14 сентября 1978 1 октябрь 1978 1 19 октября 1978 1 29 октября 1978 1 31 октября 1978 1 17 ноября 1978 1 16 января 1979 1 9 февраля 1979 1 22 марта 1979 1 1 июня 1979 1 и 6 марта 1980 1
Дети (фильм),1980
Детский остров,1980
Дважды два — пять (фильм),1980
Девушка со швейной машинкой,1980
Двадцать шесть дней из жизни Достоевского,1980
"День матери (фильм, 1980)",1980
Два долгих гудка в тумане,1980 год
Дерзкий нахал,1980
"Государственная граница. Мы наш, мы новый…",1980
Два чемпиона Шаолиня,1980
Девятая конфигурация (фильм),1980
Девушка из легенды,1980
Грубая огранка,1980 и 31 октября 1980 1
Государственная граница. Мирное лето 21-го года,1980
Дамы приглашают кавалеров,1980
Город женщин (фильм),1980
Городской ковбой,1980
Город зомби,1980 и 19 декабря 1980 1
Громовой богомол,1980
Город в страхе,1980
Без лица,1997
Бедная Саша,1997
"Без тормозов (фильм, 1997)",1997
Город живых мертвецов,1980 и 11 сентября 1980 1
"Бандитки (фильм, 1997)",1997
"Байки у костра (фильм, 1997)",1997
Артемизия (фильм),1997
Арлетт (фильм),1997
"Банзай (фильм, 1997)",1997
"Анна Каренина (фильм, 1997)",1997
Афула Экспресс,1997
Английский пациент (фильм),1996 и 27 февраля 1997 3
Андерграунд (фильм),1 апреля 1995 23 ноября 1995 1 26 декабря 1995 и 20 июня 1997
"Апостол (фильм, 1997)",1997
Анаконда (фильм),1997
"Афёры, музыка, любовь...",1997
Американский оборотень в Париже,1997
Амистад (фильм),1997
Американские приключения,1997
"Барракуда (фильм, 1997)",1997
"Город в огне (фильм, 1979)",14 мая 1979 2 24 мая 1979 2 11 июля 1979 2 19 июля 1979 2 29 августа 1979 2 31 августа 1979 2 10 октября 1979 2 ноябрь 1979 2 30 ноября 1979 2 5 декабря 1979 2 22 февраля 1980 2 21 марта 1980 2 31 мая 1980 2 18 июля 1980 2 и 9 октября 1980 2
Адвокат дьявола (фильм),17 октября 1997
"20 000 лье под водой (фильм, 1997)",1997
Американские горки (фильм),1997
Гольф-клуб (фильм),1980
"Авария (фильм, 1997)",1997
"Американка (фильм, 1997)",1997
"Голубая лагуна (фильм, 1980)",1980
187 (фильм),1997
"Абсолютная власть (фильм, 1997)",1997
Гибель 31-го отдела,1980
"Герои не плачут (фильм, 1980)",1980
"Глория (фильм, 1980)",1980
"Германия, бледная мать",1980
"Где ты, любовь?",1980
Гонщик «Серебряной мечты» (фильм),1980
Гамера — супермонстр,1980
Горные псы,1980
Встреча в Атлантике,1980
"Герои (фильм, 1980)",1980
"Вторая жена (фильм, 1980)",1980
Галаксина,1980
Всем классом на море,7 июля 1980 1
Врата рая,1980
"Выпускной (фильм, 1980)",1980
"Вторжение (фильм, 1980)",1980
Вот рука,1980
Встречи с привидениями,1980
Всадник на золотом коне,1980
Воспоминания о звёздной пыли,1980 22 января 1981 1 26 сентября 1980 2 и 10 октября 1980 2
Мужество в бою,1996
"Мстительница (фильм, 1996)",1996
Восход Люцифера,1980
Миссия невыполнима (фильм),1996
Мой забытый мужчина,1996
"Встреча (фильм, 1980)",1980
Милый друг давно забытых лет…,1996
Моцарт — навсегда,1996
Миссис Уинтерборн,1996
Молль Флендерс (фильм),1996
Мир музыки,1996
Множество (фильм),1996
Мерцающий,1996
"Вот и мы, жизнь!",1980
"Матильда (фильм, 1996)",1996
Миг невинности,1996
Марс атакует!,1996
Между ангелом и бесом,1995 и 13 июня 1996 1
"Мать (фильм, 1996)",1996
"Могучий Джо Янг (фильм, 1998)",1998
"Мёбиус (фильм, 1996)",1996
Миньон (фильм),1998
"Маркиз де Сад (фильм, 1996)",1996
4 маленькие девочки,1997
"Микрокосмос (фильм, 1996)",1996
"Воскрешение из мёртвых (фильм, 1980)",1980
Воскресные любовники,1980
"Вирус (фильм, 1980)",1980 13 мая 1982 1 и 26 июня 1980 2
"Вор (фильм, 1980)",1980
"Мандела (фильм, 1996)",1996
Великолепный удар,1980
Вечерний лабиринт,1980
Возвращение к 36 ступеням Шаолиня,1980
Вам и не снилось…,1980
Визит в Ковалёвку,1980
Вечерний вариант,1980
Весы правосудия,1980
Цветы любви,1997
Вернер Херцог ест свою туфлю,1980
Ниндзя из Беверли-Хиллз,1997
"Человек, который знал слишком мало",1997
Великое рок-н-ролльное надувательство,1980
Флаббер,1997
Убийство в Гросс-Пойнте,1997
Свирепые создания,1997
Роми и Мишель на встрече выпускников,1997
"Вавилон (фильм, 1980)",1980
Части тела (фильм),1997
"Стрелок (фильм, 1997)",1997
Разбирая Гарри,1997
Сирота казанская (фильм),1997
"Полицейские и воры (фильм, 1997)",1997
Ускользающий идеал,1997
Пьяный (фильм),1997
Странный чужак,1997
Поспешишь — людей насмешишь,1997
Портрет совершенства,1997
Один дома 3,1997
Процесс и ошибка,1997
Плутовство,1997
"Нечего терять (фильм, 1997)",1997
Оргазмо,1997
Отличный гамбургер,1997
"Я знаю, что вы сделали прошлым летом",1997
Остин Пауэрс: Человек-загадка международного масштаба,1997
Парикмахерша и чудовище,1997
Спаун (фильм),1997
"Ночной полёт (фильм, 1997)",1997
"Ночное дежурство (фильм, 1997)",1997
Не валяй дурака…,1997
"Суини Тодд (фильм, 1997)",
Ночь демонов 3,1997
"Автострада (фильм, 1997)",
Ночи в стиле буги,1997
Человек-ракета,10 октября 1997
Сквозь горизонт,1997
Смертельная битва 2: Истребление,1997
Сиротки-вампиры,1997
Тысяча чудес Вселенной,1997
Башня ужаса,
"Почтальон (фильм, 1997)",1997
В жопу академию,1980
В начале славных дел,1980 год
"Фольксваген-жук (фильм, 1997)",1997
Парк юрского периода: Затерянный мир,1997
"Бум (фильм, 1980)",1980
Брубэйкер,1980
Чужой: Воскрешение,1997
Быстрее собственной тени,1980
Бритва (фильм),1980
Турборейнджеры,1997
"Бугимен (фильм, 1980)",1980
Босоногий Гэн,
