title,genre
Последний рубеж,"боевик,триллер"
После нашей эры,"научная фантастика,приключения,фильм-катастрофа"
Порочные игры,психологический триллер
Помни воскресенье,"драма,мелодрама"
"Поймай толстуху, если сможешь",комедия
Погнали!,боевик
"Побочный эффект (фильм, 2013)",психологический триллер
Пленницы,"детектив,триллер,драма"
План побега,боевик
Призрачный патруль,"научное фэнтези,комедия,детектив"
Перси Джексон и Море чудовищ (фильм),"фэнтези,приключения"
Парклэнд,"биографический,триллер,детектив"
Призраки в Коннектикуте 2: Тени прошлого,ужасы
Последний из Робин Гудов,"биографический фильм,драматический фильм"
Пешка (фильм),"триллер,криминал"
Паркер (фильм),"криминал,триллер,боевик"
Падение Олимпа,"боевик,триллер"
Открытая могила,"триллер,фильм ужасов"
Прогулка среди могил,
Очень страшное кино 5,"ужасы,пародия"
Орудия смерти: Город костей,городское фэнтези
"Она (фильм, 2013)","фантастическая,мелодрама"
Окулус,"мистика,триллер,ужасы"
Перед полуночью,мелодрама
Одноклассники 2,комедия
Оз: Великий и Ужасный,"фэнтези,приключения,Музыка к фильму"
Одинокий рейнджер (фильм),"комедийный,вестерн,боевик"
"Обливион (фильм, 2013)","боевик,приключения,фантастика,антиутопия"
Ночь страха 2: Свежая кровь,"подростковый фильм,комедия ужасов,фильм о вампирах,ЛГБТ-фильм,фильм-триллер,комедийный фильм"
Пипец 2,"боевик,чёрная комедия,супергеройский фильм,драма"
Отец-молодец,"комедия,драма"
Новая попытка Кейт Макколл,драма
Опасная иллюзия,"романтическая комедия,боевик,2,комедийная драма,комедийный триллер,фильм-мелодрама"
Откровения лучших порномоделей,"документальный фильм,1"
Неудержимый (фильм),боевик
Новобрачный (фильм),документальный
Несносный дед,комедийный фильм
Невероятная жизнь Уолтера Митти,"приключенческая,трагикомедия"
Пало-Альто (фильм),драма
Наслаждение или боль,"драма,триллер"
"Мы такие, какие есть","фильм ужасов,драматический фильм"
Ночные движения,"драма,триллер"
Мы — Миллеры,комедия
Муви 43,комедия
"Не беспокоить (фильм, 2010)","ужасы,триллер"
Мрачные небеса,"ужасы,фантастика,триллер"
Морской пехотинец: Тыл,боевик
Милая Фрэнсис,трагикомедия
Микроб (фильм),"ужасы,фантастика,драма"
Мы — семья Пиплз,"комедия,мелодрама"
Место под соснами,"криминальная,драма"
Медсестра 3D,"триллер,детектив"
Мэри и Марта,драма
Небраска (фильм),"комедийная драма,роуд-муви"
Лето. Пляж. Кино,"музыкальная,комедия"
"Мошенничество (фильм, 2013)","Комедия,приключения,молодёжный"
Лавлэйс (фильм),биографическая драма
Кровью и потом: Анаболики,чёрная комедия
"Крепкий орешек: Хороший день, чтобы умереть",остросюжетный боевик
Копы в юбках,комедия
Козлиный остров,драма
Карательный отряд,боевик
Каньоны (фильм),"триллер,драма"
Канун Дня Всех Святых,фильм ужасов
Короткий срок 12,драма
Капитан Филлипс,"триллер,драма,боевик"
Когда я умирала (фильм),драма
Клуб «CBGB»,"драма,история,музыка"
Игра Эндера (фильм),научная фантастика
Из пекла,"криминальный,триллер"
Кадры (фильм),комедия
Интерьер. Кожаный бар.,документалистика
Зловещие мертвецы: Чёрная книга,сверхъестественный фильм ужасов
Мертвец из Тумстоуна,"боевик,вестерн,фэнтези,ужасы"
Заклятие (фильм),"фильм ужасов,триллер"
Зажги меня,"триллер,эротика"
Завершить историю,комедия
Забойный реванш,"спорт,комедия"
З/Л/О 2,"ужасы,псевдодокументальный фильм"
Жасмин (фильм),драма
Дни и ночи,драматический фильм
Довольно слов,комедия
Железный человек 3,"супергероика,боевик,научная фантастика,приключения"
Джобс: Империя соблазна,"драма,фильм-биография"
Земной апокалипсис,"научная фантастика,боевик"
Джек — покоритель великанов,"фэнтези,приключения"
Дворецкий (фильм),"драма,байопик"
Два ствола,"боевик,детектив,комедия"
"Джо (фильм, 2013)",драма
Далласский клуб покупателей,"драма,Саундтрек"
Гравитация (фильм),"драматический,технотриллер"
Гостья (фильм),"фантастика,триллер,мелодрама"
День труда (фильм),драма
Дела с идиотами,комедия
Город порока,"детектив,драма,триллер"
"Гонка (фильм, 2013)","спортивно,историческая,драма,Film score,glam rock"
Дитя божье,драма
Волк с Уолл-стрит,"эпическая,биографическая,криминальная,чёрная комедия,Блюз,Джаз,Прогрессивный рок"
Голодные игры: И вспыхнет пламя,"боевик,антиутопия"
Властелин любви,биографический фильм
Возвращение героя,"боевик,триллер"
Война миров Z,"боевик,о зомби,классическая музыка"
Висельники,"ужасы,вестерн"
Голливудский мусор,кинокомедия
"Великий Гэтсби (фильм, 2013)","драма,мелодрама"
"Близкие враги (фильм, 2013)","боевик,триллер"
"Благослови меня, Ультима (фильм)",драма
В поисках короля,
В безопасности,"Боевик,комедия"
Выдача багажа (фильм),комедия
Биг-Сур (фильм),драма
Бергдорф Гудман: Больше века на вершине модного олимпа,документальный фильм
Бархатное утро,"драматический фильм,романтический фильм"
Афера по-американски,чёрная комедия
Атомная школа: Возвращение. Часть 1,"научная фантастика,комедия,хоррор"
"В бегах (фильм, 2013)",драма
Битва проклятых,"фантастика,ужасы,триллер,боевик,приключения"
Атлантический рубеж,"фантастика,приключения,боевик,пародия"
Астрал: Глава 2,фильм ужасов
"47 ронинов (фильм, 2013)","фэнтези,боевик,драма"
42 (фильм),"драма,спортивный фильм"
Август: Графство Осейдж (фильм),драма
12 лет рабства,"историческая,драма"
Холокост — клей для обоев?,документальный
Властелин разметки,"трагикомедия,Саундтрек"
Эверест. Достигая невозможного,"3D,докудрама"
1 (документальный фильм),документальный
Тёмный мир: Равновесие,городское фэнтези
"Трудно быть богом (фильм, 2013)","фантастика,драма"
"Хамелеон (фильм, 2013)",Художественный
"Три мушкетёра (фильм, 2013)","исторический,приключенческий фильм"
Взрослый мир,комедия-драма
"Тяжёлый случай (фильм, 2013)","мелодрама,комедия"
Тайна перевала Дятлова,"фильм ужасов,триллер,псевдодокументальный фильм"
Сокровища О. К.,"комедия,приключенческий фильм"
"Роль (фильм, 2013)",драма
"Саранча (фильм, 2013)","драма,криминал,триллер"
Прошлым летом в Чулимске (фильм),
Репетиции,драма
"Про жену, мечту и ещё одну…",драма
Страна хороших деточек,"комедия,приключения,детский"
