title,genre
Гардемарины 1787. Война,"исторический фильм,батальный фильм"
Выжившие. Бетонная утопия,"фильм-катастрофа,фильм-триллер"
Вурдалак (фильм),"ужасы,мистика"
Вся красота и кровопролитие,"документальный фильм,1,биографический фильм"
Всемирный потоп (фильм),"драма,триллер,фильм-катастрофа"
Мы хороним мёртвых,"фильм-триллер,фильм про выживание"
Вы когда-нибудь боялись?,фильм ужасов
Мотель Дестино,фильм-триллер
Молчание Марии,драматический фильм
Мой шпион: Вечный город,"шпионский фильм,комедийный фильм,комедийный боевик"
Мой сосед — монстр,"комедийный фильм,1,романтический фильм,1,фильм ужасов,1"
"Москва, которую мы потеряли",документальный фильм
Мой любимый чемпион,
Моди: Три дня на крыльях безумия,"биографический фильм,драматический фильм"
Миллениум (фильм),"комедийный фильм,1,фильм-катастрофа,uchronia"
Месье Азнавур,"биографический фильм,1,3,драматический фильм,1,3,музыкальный фильм,3"
Мой любимый торт,фильм-мелодрама
Миссия: Красный,"комедийный боевик,приключенческий фильм,рождественский фильм"
Министерство неджентльменских дел,комедийный боевик
Где Анна Франк?,
Мертвецам не больно,"вестерн,фильм-мелодрама"
Меган: К вашим услугам,"научно-фантастический,триллер"
"Мелочи жизни (фильм, 2024)","драматический фильм,1"
Между нами лето,
Мегалополис (фильм),"эпическая,научно-фантастическая драма"
Международная космическая станция (фильм),"научно-фантастический,фантастический триллер"
"Вызов (фильм, 2023)",драма
Материнский инстинкт (фильм),психологический триллер
"Мастер и Маргарита (фильм, 2024)","фэнтезийная драма,дизельпанк"
"Мария (фильм, 2024)","биографический фильм,1,драматический фильм,психологический драматический фильм"
"Маргиналы (фильм, 2024)",ужасы
Марчелло Мио,комедийный фильм
Манкимэн,остросюжетный боевик
Манюня: Приключения в Москве,
Маме снова 17,"комедия,фантастика"
Максин XXX,фильм ужасов
Майор Гром: Игра,"супергероика,боевик,приключения,драма,детектив"
Манюня: Приключения в деревне,
Буйство смерти,фильм ужасов
У подножия вулкана (фильм),"драма,экранизация"
Эммануэль 4,эротика
Чужая кровь (фильм),"Военная,драма"
